"ee.Taxon","N","Definition"
"mouse",3,"syndromic X-linked intellectual disability Claes-Jensen type"
"mouse",3,"syndromic X-linked intellectual disability Lubs type"
"human",3,"congenital nervous system abnormality"
"human",3,"azoospermia"
"human",3,"adult T-cell leukemia"
"human",3,"acute leukemia"
"human",3,"hereditary sensory neuropathy"
"human",3,"Riley-Day syndrome"
"rat",3,"inflammatory bowel disease"
"rat",3,"colitis"
"human",3,"autoimmune disease of gastrointestinal tract"
"human",3,"celiac disease"
"human",3,"nasopharynx carcinoma"
"human",3,"nasopharyngeal disease"
"human",3,"laryngeal carcinoma"
"mouse",3,"gonadal disease"
"human",3,"ovarian benign neoplasm"
"human",3,"endometrioid ovary carcinoma"
"human",3,"mixed glioma"
"rat",3,"specific developmental disorder"
"mouse",3,"colon cancer"
"mouse",3,"duodenum disease"
"rat",3,"bone disease"
"rat",3,"connective tissue disease"
"mouse",3,"adenoma"
"human",3,"spindle cell sarcoma"
"human",3,"atypical teratoid rhabdoid tumor"
"rat",3,"intestinal cancer"
"rat",3,"large intestine cancer"
"rat",3,"colorectal cancer"
"mouse",3,"lymphatic system cancer"
"mouse",3,"immune system cancer"
"mouse",3,"lymphatic system disease"
"mouse",3,"prostate carcinoma"
"human",3,"embryonal rhabdomyosarcoma"
"human",3,"tongue disease"
"human",3,"tongue cancer"
"human",3,"adrenal cortical adenoma"
"rat",3,"liver cancer"
"human",3,"smoldering myeloma"
"human",3,"basal cell carcinoma"
"human",3,"brain glioma"
"human",3,"kidney benign neoplasm"
"human",3,"rhabdoid cancer"
"human",3,"childhood kidney cancer"
"human",3,"kidney sarcoma"
"human",3,"kidney clear cell sarcoma"
"human",3,"renal oncocytoma"
"human",3,"urinary system benign neoplasm"
"human",3,"cellular myxoid liposarcoma"
"human",3,"pleomorphic liposarcoma"
"human",3,"megakaryocytic leukemia"
"human",3,"neuroma"
"human",3,"neurilemmoma"
"human",3,"uterine corpus cancer"
"human",3,"splenic marginal zone lymphoma"
"mouse",3,"rhabdomyosarcoma"
"human",3,"pituitary gland disease"
"human",3,"breast metaplastic carcinoma"
"human",3,"breast medullary carcinoma"
"human",3,"germ cell and embryonal cancer"
"human",3,"seminoma"
"human",3,"intrahepatic cholangiocarcinoma"
"mouse",3,"mature B-cell neoplasm"
"human",3,"severe combined immunodeficiency"
"human",3,"combined T cell and B cell immunodeficiency"
"human",3,"cerebral ventricle cancer"
"human",3,"cerebrum cancer"
"human",3,"oral squamous cell carcinoma"
"human",3,"alveolar soft part sarcoma"
"human",3,"papilloma"
"human",3,"chronic fatigue syndrome"
"human",3,"Kaposi's sarcoma"
"mouse",3,"myelodysplastic syndrome"
"human",3,"ischemia"
"human",3,"myotonic dystrophy type 1"
"human",3,"myotonic disease"
"human",3,"primary progressive multiple sclerosis"
"human",3,"aortic aneurysm"
"rat",3,"coronary artery disease"
"rat",3,"myocardial infarction"
"mouse",3,"movement disease"
"human",3,"progressive supranuclear palsy"
"human",3,"Lewy body dementia"
"human",3,"intellectual disability"
"human",3,"anxiety disorder"
"human",3,"ankylosing spondylitis"
"human",3,"congenital hypoplastic anemia"
"human",3,"hepatic encephalopathy"
"mouse",3,"hypothyroidism"
"rat",3,"anxiety disorder"
"rat",3,"post-traumatic stress disorder"
"rat",3,"status epilepticus"
"human",3,"cerebral palsy"
"mouse",2,"amino acid metabolic disorder"
"human",2,"morbid obesity"
"mouse",2,"neuronal ceroid lipofuscinosis"
"rat",2,"iron deficiency anemia"
"rat",2,"nutritional deficiency disease"
"human",2,"mitochondrial metabolism disease"
"human",2,"carbohydrate metabolic disorder"
"human",2,"abdominal obesity-metabolic syndrome"
"human",2,"abdominal obesity-metabolic syndrome 1"
"rat",2,"type 2 diabetes mellitus"
"human",2,"hyperinsulinism"
"rat",2,"diabetic retinopathy"
"human",2,"nutritional deficiency disease"
"mouse",2,"Sly syndrome"
"human",2,"psoriatic arthritis"
"mouse",2,"Fabry disease"
"mouse",2,"Prader-Willi syndrome"
"mouse",2,"Niemann-Pick disease type C1"
"mouse",2,"Gaucher's disease type III"
"human",2,"tuberculoid leprosy"
"human",2,"measles"
"mouse",2,"brucellosis"
"mouse",2,"trypanosomiasis"
"mouse",2,"Chagas disease"
"human",2,"dengue hemorrhagic fever"
"human",2,"avian influenza"
"human",2,"respiratory syncytial virus infectious disease"
"human",2,"lipodystrophy"
"human",2,"extrapulmonary tuberculosis"
"human",2,"central nervous system tuberculosis"
"mouse",2,"commensal bacterial infectious disease"
"mouse",2,"pertussis"
"rat",2,"viral infectious disease"
"human",2,"leishmaniasis"
"human",2,"cutaneous leishmaniasis"
"mouse",2,"lymphocytic choriomeningitis"
"human",2,"viral encephalitis"
"human",2,"gastroenteritis"
"mouse",2,"diphtheria"
"mouse",2,"cardiomyopathy"
"mouse",2,"extrinsic cardiomyopathy"
"mouse",2,"myocarditis"
"mouse",2,"encephalomyelitis"
"human",2,"Zika fever"
"human",2,"age related macular degeneration"
"human",2,"degeneration of macula and posterior pole"
"human",2,"macular degeneration"
"human",2,"retinitis pigmentosa"
"mouse",2,"otitis media"
"mouse",2,"auditory system disease"
"mouse",2,"middle ear disease"
"mouse",2,"retinal detachment"
"human",2,"Leber congenital amaurosis 1"
"human",2,"Leber congenital amaurosis"
"human",2,"large cell neuroendocrine carcinoma"
"human",2,"neuroendocrine tumor"
"human",2,"B-cell adult acute lymphocytic leukemia"
"human",2,"malignant biphasic mesothelioma"
"human",2,"adenosquamous lung carcinoma"
"human",2,"respiratory system benign neoplasm"
"human",2,"lung benign neoplasm"
"human",2,"respiratory allergy"
"human",2,"cellulitis"
"mouse",2,"allergic hypersensitivity disease"
"human",2,"autoimmune disease of endocrine system"
"human",2,"autosomal recessive limb-girdle muscular dystrophy type 2A"
"mouse",2,"Machado-Joseph disease"
"mouse",2,"autosomal recessive cerebellar ataxia"
"mouse",2,"leukodystrophy"
"mouse",2,"cerebral degeneration"
"human",2,"adrenoleukodystrophy"
"human",2,"lateral sclerosis"
"human",2,"primary polycythemia"
"human",2,"polycythemia"
"human",2,"juvenile myelomonocytic leukemia"
"human",2,"myelodysplastic/myeloproliferative neoplasm"
"rat",2,"autosomal genetic disease"
"human",2,"late onset Parkinson's disease"
"human",2,"tuberous sclerosis"
"human",2,"spinocerebellar ataxia type 6"
"human",2,"Asperger syndrome"
"human",2,"prion disease"
"human",2,"angioimmunoblastic T-cell lymphoma"
"rat",2,"ulcerative colitis"
"human",2,"laryngeal squamous cell carcinoma"
"human",2,"prostatic hypertrophy"
"mouse",2,"ovarian disease"
"mouse",2,"female reproductive organ cancer"
"mouse",2,"female reproductive system disease"
"mouse",2,"ovarian cancer"
"human",2,"male reproductive organ benign neoplasm"
"human",2,"prostatic adenoma"
"human",2,"mixed cell type cancer"
"human",2,"ganglioglioma"
"human",2,"congenital heart disease"
"mouse",2,"duodenum cancer"
"mouse",2,"jejunal cancer"
"mouse",2,"small intestine carcinoma"
"rat",2,"colon cancer"
"rat",2,"colonic disease"
"mouse",2,"thymus cancer"
"mouse",2,"thymus gland disease"
"mouse",2,"prostate adenocarcinoma"
"human",2,"gastrointestinal carcinoma"
"human",2,"tongue squamous cell carcinoma"
"mouse",2,"stomach cancer"
"mouse",2,"myeloid neoplasm"
"rat",2,"hepatocellular carcinoma"
"rat",2,"liver carcinoma"
"human",2,"inflammatory breast carcinoma"
"human",2,"essential thrombocythemia"
"human",2,"myeloproliferative neoplasm"
"human",2,"acute promyelocytic leukemia"
"mouse",2,"acute T cell leukemia"
"human",2,"placenta cancer"
"human",2,"embryonal carcinoma"
"human",2,"choriocarcinoma"
"human",2,"testicular non-seminomatous germ cell cancer"
"human",2,"testicular malignant germ cell cancer"
"human",2,"testicular germ cell cancer"
"human",2,"embryonal cancer"
"human",2,"placenta disease"
"human",2,"alveolar rhabdomyosarcoma"
"human",2,"brain glioblastoma multiforme"
"human",2,"plasma cell leukemia"
"human",2,"chromophobe renal cell carcinoma"
"mouse",2,"chronic myeloid leukemia"
"human",2,"Hodgkin's lymphoma, lymphocytic-histiocytic predominance"
"mouse",2,"thyroid gland cancer"
"mouse",2,"papilloma"
"mouse",2,"skin papilloma"
"mouse",2,"thyroid gland carcinoma"
"human",2,"uterine corpus serous adenocarcinoma"
"human",2,"mesoblastic nephroma"
"mouse",2,"spindle cell carcinoma"
"human",2,"tumor of exocrine pancreas"
"human",2,"pancreatic intraductal papillary-mucinous neoplasm"
"human",2,"thyroid adenoma"
"human",2,"thyroid gland medullary carcinoma"
"human",2,"follicular adenoma"
"human",2,"thyroid Hurthle cell adenoma"
"human",2,"breast mucinous carcinoma"
"human",2,"endodermal sinus tumor"
"human",2,"teratoma"
"human",2,"myxoid liposarcoma"
"human",2,"breast lobular carcinoma"
"human",2,"invasive lobular carcinoma"
"human",2,"mixed oligodendroglioma-astrocytoma"
"rat",2,"bile duct disease"
"rat",2,"bile duct cancer"
"rat",2,"biliary tract cancer"
"rat",2,"bile duct adenocarcinoma"
"rat",2,"bile duct carcinoma"
"rat",2,"intrahepatic cholangiocarcinoma"
"rat",2,"cholangiocarcinoma"
"rat",2,"biliary tract disease"
"mouse",2,"bladder disease"
"mouse",2,"urinary system cancer"
"human",2,"myelofibrosis"
"human",2,"reticulosarcoma"
"human",2,"cervical adenocarcinoma"
"human",2,"gliosarcoma"
"human",2,"mucinous adenocarcinoma"
"human",2,"clear cell adenocarcinoma"
"mouse",2,"colon carcinoma"
"human",2,"choroid plexus papilloma"
"human",2,"cerebrovascular benign neoplasm"
"human",2,"malignant ependymoma"
"human",2,"pediatric ependymoma"
"mouse",2,"skin squamous cell carcinoma"
"human",2,"thymoma"
"human",2,"thymus cancer"
"human",2,"thymus gland disease"
"mouse",2,"plasma cell neoplasm"
"mouse",2,"gastrointestinal stromal tumor"
"mouse",2,"pancreatic ductal adenocarcinoma"
"mouse",2,"pancreatic adenocarcinoma"
"human",2,"skin squamous cell carcinoma"
"human",2,"actinic keratosis"
"human",2,"gastritis"
"human",2,"stomach disease"
"human",2,"papillary serous adenocarcinoma"
"human",2,"papillary adenocarcinoma"
"mouse",2,"T-cell adult acute lymphocytic leukemia"
"mouse",2,"adult acute lymphocytic leukemia"
"mouse",2,"meningioma"
"human",2,"microcephaly"
"human",2,"esophagitis"
"mouse",2,"germ cell cancer"
"mouse",2,"germ cell and embryonal cancer"
"mouse",2,"teratoma"
"rat",2,"heart disease"
"rat",2,"substance-related disorder"
"rat",2,"substance dependence"
"human",2,"myotonic dystrophy type 2"
"human",2,"secondary progressive multiple sclerosis"
"human",2,"abdominal aortic aneurysm"
"human",2,"aortic valve stenosis"
"human",2,"heart valve disease"
"human",2,"aortic valve disease"
"human",2,"coronary stenosis"
"human",2,"limited scleroderma"
"human",2,"proteinuria"
"human",2,"CHARGE syndrome"
"mouse",2,"dystonia"
"mouse",2,"sleep disorder"
"human",2,"sleep disorder"
"mouse",2,"transient cerebral ischemia"
"mouse",2,"withdrawal disorder"
"human",2,"diffuse scleroderma"
"rat",2,"attention deficit hyperactivity disorder"
"human",2,"Angelman syndrome"
"rat",2,"Rett syndrome"
"mouse",2,"attention deficit hyperactivity disorder"
"human",2,"pituitary adenoma"
"human",2,"pituitary gland benign neoplasm"
"mouse",2,"Smith-Magenis syndrome"
"mouse",2,"bone remodeling disease"
"mouse",2,"bone resorption disease"
"mouse",2,"osteoporosis"
"mouse",2,"rheumatoid arthritis"
"mouse",2,"osteoarthritis"
"human",2,"bone development disease"
"human",2,"synostosis"
"human",2,"dysostosis"
"human",2,"craniosynostosis"
"rat",2,"bone inflammation disease"
"rat",2,"arthritis"
"human",2,"Patau syndrome"
"mouse",2,"Klinefelter's syndrome"
"human",2,"cryptorchidism"
"human",2,"neural tube defect"
"rat",2,"brain infarction"
"rat",2,"cerebral infarction"
"human",2,"chronic kidney disease"
"human",2,"uremia"
"mouse",2,"urinary tract obstruction"
"human",2,"hepatitis"
"human",2,"Fanconi anemia"
"human",2,"inherited blood coagulation disease"
"human",2,"post-traumatic stress disorder"
"rat",2,"transient cerebral ischemia"
"human",2,"diarrhea"
"human",2,"Kawasaki disease"
"mouse",2,"major depressive disorder"
"human",2,"lichen disease"
"human",2,"lichen planus"
"mouse",2,"status epilepticus"
"mouse",2,"focal epilepsy"
"mouse",2,"temporal lobe epilepsy"
"rat",2,"focal epilepsy"
"rat",2,"temporal lobe epilepsy"
"mouse",2,"primary immunodeficiency disease"
"mouse",2,"severe combined immunodeficiency"
"mouse",2,"combined T cell and B cell immunodeficiency"
"rat",2,"thyroid gland disease"
"rat",2,"hyperthyroidism"
"mouse",2,"scrapie"
"human",2,"oral mucosa leukoplakia"
"mouse",2,"gastritis"
"mouse",2,"stomach disease"
"mouse",1,"succinic semialdehyde dehydrogenase deficiency"
"mouse",1,"gamma-amino butyric acid metabolism disorder"
"rat",1,"morbid obesity"
"human",1,"metabolic acidosis"
"human",1,"lactic acidosis"
"mouse",1,"hyperglycemia"
"rat",1,"pancreas disease"
"rat",1,"hypoglycemia"
"rat",1,"lysosomal storage disease"
"rat",1,"fatty liver disease"
"rat",1,"lipid storage disease"
"mouse",1,"mucopolysaccharidosis III"
"human",1,"congenital disorder of glycosylation type I"
"human",1,"congenital disorder of glycosylation"
"human",1,"prediabetes syndrome"
"human",1,"gestational diabetes"
"human",1,"glucose intolerance"
"human",1,"congenital adrenal hyperplasia"
"human",1,"steroid inherited metabolic disorder"
"human",1,"combined oxidative phosphorylation deficiency"
"rat",1,"hyperglycemia"
"mouse",1,"chromosome 16p12.2-p11.2 deletion syndrome"
"mouse",1,"chromosome 16p11.2 duplication syndrome"
"human",1,"neuronal ceroid lipofuscinosis"
"human",1,"glycogen metabolism disorder"
"human",1,"glycogen storage disease"
"human",1,"glycogen storage disease II"
"mouse",1,"fatty liver disease"
"mouse",1,"iron deficiency anemia"
"mouse",1,"nutritional deficiency disease"
"human",1,"metachromatic leukodystrophy"
"human",1,"sphingolipidosis"
"human",1,"fatty liver disease"
"rat",1,"primary hyperoxaluria"
"rat",1,"carbohydrate metabolic disorder"
"human",1,"organic acidemia"
"human",1,"propionic acidemia"
"human",1,"amino acid metabolic disorder"
"human",1,"pernicious anemia"
"human",1,"melioidosis"
"human",1,"POEMS syndrome"
"human",1,"plasmacytoma"
"human",1,"amyloidosis"
"rat",1,"vitamin metabolic disorder"
"rat",1,"vitamin B12 deficiency"
"mouse",1,"peroxisomal biogenesis disorder"
"mouse",1,"Zellweger syndrome"
"mouse",1,"peroxisomal disease"
"mouse",1,"Leigh disease"
"mouse",1,"mitochondrial metabolism disease"
"mouse",1,"urea cycle disorder"
"mouse",1,"hyperargininemia"
"mouse",1,"Brucella melitensis brucellosis"
"mouse",1,"Brucella abortus brucellosis"
"mouse",1,"intestinal infectious disease"
"mouse",1,"dysentery"
"mouse",1,"shigellosis"
"human",1,"endemic typhus"
"human",1,"typhus"
"human",1,"scrub typhus"
"human",1,"borderline leprosy"
"mouse",1,"Brucella suis brucellosis"
"rat",1,"primary bacterial infectious disease"
"rat",1,"bacterial infectious disease"
"rat",1,"bubonic plague"
"rat",1,"septicemic plague"
"rat",1,"plague"
"rat",1,"lymphatic system disease"
"rat",1,"lymph node disease"
"human",1,"adult-onset Still's disease"
"mouse",1,"herpes simplex"
"human",1,"cryoglobulinemia"
"mouse",1,"rabies"
"mouse",1,"measles"
"human",1,"hepatitis E"
"mouse",1,"listeriosis"
"human",1,"tropical spastic paraparesis"
"rat",1,"borna disease"
"human",1,"mucocutaneous leishmaniasis"
"rat",1,"parasitic infectious disease"
"human",1,"spotted fever"
"human",1,"boutonneuse fever"
"human",1,"chlamydia"
"human",1,"Newcastle disease"
"mouse",1,"leishmaniasis"
"human",1,"swine influenza"
"human",1,"yellow fever"
"mouse",1,"toxocariasis"
"mouse",1,"acute myocarditis"
"human",1,"Lyme disease"
"mouse",1,"human immunodeficiency virus infectious disease"
"mouse",1,"West Nile encephalitis"
"mouse",1,"Venezuelan equine encephalitis"
"human",1,"Western equine encephalitis"
"rat",1,"human immunodeficiency virus infectious disease"
"human",1,"hemophagocytic lymphohistiocytosis"
"human",1,"sinusitis"
"human",1,"paranasal sinus disease"
"mouse",1,"Leber congenital amaurosis"
"mouse",1,"retinal vascular disease"
"mouse",1,"diabetic retinopathy"
"mouse",1,"sensory system cancer"
"mouse",1,"ocular cancer"
"mouse",1,"retinal cancer"
"mouse",1,"retinoblastoma"
"mouse",1,"retinal cell cancer"
"human",1,"retinal detachment"
"human",1,"Usher syndrome"
"human",1,"dry eye syndrome"
"human",1,"keratoconjunctivitis sicca"
"human",1,"lacrimal apparatus disease"
"rat",1,"retinal ischemia"
"mouse",1,"color blindness"
"mouse",1,"achromatopsia"
"mouse",1,"blindness"
"human",1,"ocular hypertension"
"human",1,"open-angle glaucoma"
"human",1,"primary open angle glaucoma"
"human",1,"retinopathy of prematurity"
"human",1,"periventricular leukomalacia"
"human",1,"encephalomalacia"
"mouse",1,"age related macular degeneration"
"mouse",1,"degeneration of macula and posterior pole"
"mouse",1,"macular degeneration"
"mouse",1,"retinopathy of prematurity"
"rat",1,"ocular hypertension"
"mouse",1,"myopia"
"mouse",1,"refractive error"
"mouse",1,"retinitis pigmentosa"
"human",1,"neovascular inflammatory vitreoretinopathy"
"human",1,"vitreous disease"
"human",1,"aniridia"
"human",1,"iris disease"
"human",1,"lymphangioleiomyomatosis"
"mouse",1,"respiratory failure"
"mouse",1,"pulmonary edema"
"rat",1,"obstructive lung disease"
"rat",1,"chronic obstructive pulmonary disease"
"human",1,"large cell carcinoma"
"mouse",1,"bronchiolitis obliterans"
"human",1,"asbestos-related lung carcinoma"
"human",1,"granulomatosis with polyangiitis"
"mouse",1,"obstructive lung disease"
"mouse",1,"chronic obstructive pulmonary disease"
"mouse",1,"lung non-small cell carcinoma"
"human",1,"pulmonary artery disease"
"human",1,"pulmonary embolism"
"human",1,"lung oat cell carcinoma"
"human",1,"status asthmaticus"
"human",1,"pancreatitis"
"human",1,"allergic asthma"
"human",1,"pulmonary neuroendocrine tumor"
"human",1,"basaloid lung carcinoma"
"human",1,"bronchiolo-alveolar adenocarcinoma"
"rat",1,"bronchial disease"
"rat",1,"asthma"
"mouse",1,"respiratory system benign neoplasm"
"mouse",1,"lung benign neoplasm"
"human",1,"respiratory failure"
"human",1,"adult respiratory distress syndrome"
"human",1,"phagocyte bactericidal dysfunction"
"human",1,"chronic granulomatous disease"
"mouse",1,"anti-basement membrane glomerulonephritis"
"mouse",1,"Goodpasture syndrome"
"human",1,"in situ pulmonary adenocarcinoma"
"mouse",1,"viral pneumonia"
"human",1,"inguinal hernia"
"human",1,"cecal disease"
"human",1,"appendicitis"
"mouse",1,"respiratory allergy"
"mouse",1,"allergic asthma"
"human",1,"autoimmune polyendocrine syndrome type 1"
"human",1,"autoimmune polyendocrine syndrome"
"human",1,"lethal congenital contracture syndrome"
"human",1,"hyper IgE syndrome"
"human",1,"B cell deficiency"
"human",1,"hyperimmunoglobulin syndrome"
"human",1,"hyper IgE recurrent infection syndrome 1"
"mouse",1,"abdominal obesity-metabolic syndrome"
"mouse",1,"abdominal obesity-metabolic syndrome 1"
"human",1,"Cornelia de Lange syndrome"
"human",1,"Roberts syndrome"
"human",1,"Alagille syndrome"
"human",1,"autosomal recessive limb-girdle muscular dystrophy type 2I"
"human",1,"Emery-Dreifuss muscular dystrophy"
"human",1,"hereditary spastic paraplegia"
"human",1,"paraplegia"
"human",1,"Becker muscular dystrophy"
"human",1,"Nijmegen breakage syndrome"
"human",1,"progeria"
"human",1,"familial Mediterranean fever"
"human",1,"Li-Fraumeni syndrome"
"human",1,"Timothy syndrome"
"mouse",1,"Friedreich ataxia"
"mouse",1,"tuberous sclerosis"
"human",1,"Muckle-Wells syndrome"
"mouse",1,"Alexander disease"
"human",1,"spinocerebellar ataxia type 28"
"human",1,"congenital generalized lipodystrophy"
"human",1,"complete generalized lipodystrophy"
"human",1,"Lynch syndrome"
"human",1,"congenital muscular dystrophy"
"human",1,"Walker-Warburg syndrome"
"human",1,"Werner syndrome"
"human",1,"polycystic kidney disease"
"human",1,"polycystic kidney disease 1"
"human",1,"cystic kidney disease"
"human",1,"autosomal dominant polycystic kidney disease"
"human",1,"familial erythrocytosis 2"
"human",1,"familial adenomatous polyposis"
"human",1,"Noonan syndrome"
"mouse",1,"fragile X-associated tremor/ataxia syndrome"
"mouse",1,"X-linked hereditary ataxia"
"mouse",1,"spinocerebellar ataxia type 2"
"rat",1,"autosomal dominant disease"
"rat",1,"abdominal obesity-metabolic syndrome"
"rat",1,"abdominal obesity-metabolic syndrome 1"
"rat",1,"syndrome"
"human",1,"Simpson-Golabi-Behmel syndrome type 1"
"human",1,"peripheral vascular disease"
"mouse",1,"Coffin-Lowry syndrome"
"human",1,"X-linked dominant disease"
"human",1,"fragile X syndrome"
"mouse",1,"progeria"
"human",1,"fibrodysplasia ossificans progressiva"
"mouse",1,"spinocerebellar ataxia type 6"
"human",1,"Parkinson's disease 8"
"mouse",1,"ataxia with oculomotor apraxia type 2"
"mouse",1,"Noonan syndrome"
"mouse",1,"sickle cell anemia"
"mouse",1,"blood protein disease"
"human",1,"Parkinson's disease 2"
"human",1,"early-onset Parkinson's disease"
"human",1,"cortical dysplasia-focal epilepsy syndrome"
"mouse",1,"hypomyelinating leukodystrophy"
"mouse",1,"Pelizaeus-Merzbacher disease"
"mouse",1,"Cockayne syndrome"
"human",1,"Parkinson's disease 1"
"human",1,"amyotrophic lateral sclerosis type 6"
"human",1,"Alexander disease"
"mouse",1,"ciliopathy"
"mouse",1,"primary ciliary dyskinesia"
"mouse",1,"Duane-radial ray syndrome"
"mouse",1,"Pitt-Hopkins syndrome"
"rat",1,"autosomal recessive disease"
"rat",1,"Cockayne syndrome"
"human",1,"arrhythmogenic right ventricular cardiomyopathy"
"human",1,"fatal familial insomnia"
"mouse",1,"fatal familial insomnia"
"mouse",1,"Creutzfeldt-Jakob disease"
"mouse",1,"lissencephaly"
"mouse",1,"congenital nervous system abnormality"
"human",1,"lissencephaly"
"mouse",1,"congenital muscular dystrophy"
"mouse",1,"orofacial cleft"
"mouse",1,"cleft palate"
"human",1,"colon adenoma"
"human",1,"ileitis"
"mouse",1,"ulcerative colitis"
"mouse",1,"Crohn's disease"
"human",1,"endometriosis of uterus"
"mouse",1,"reproductive organ benign neoplasm"
"mouse",1,"female reproductive organ benign neoplasm"
"mouse",1,"endocrine organ benign neoplasm"
"mouse",1,"ovarian benign neoplasm"
"mouse",1,"granulosa cell tumor"
"mouse",1,"luteoma"
"human",1,"ovarian cystadenoma"
"human",1,"ovarian mucinous adenocarcinoma"
"human",1,"ovary transitional cell carcinoma"
"human",1,"ovarian carcinosarcoma"
"human",1,"pleomorphic adenoma"
"human",1,"atrioventricular septal defect"
"human",1,"ventricular septal defect"
"human",1,"heart septal defect"
"human",1,"atrial heart septal defect"
"rat",1,"fetal alcohol syndrome"
"rat",1,"fetal alcohol spectrum disorder"
"rat",1,"musculoskeletal system cancer"
"rat",1,"spinal disease"
"rat",1,"brain cancer"
"rat",1,"bone cancer"
"rat",1,"connective tissue cancer"
"rat",1,"malignant glioma"
"rat",1,"nervous system cancer"
"rat",1,"central nervous system cancer"
"human",1,"plantar fascial fibromatosis"
"human",1,"B- and T-cell mixed leukemia"
"human",1,"prostatitis"
"human",1,"juvenile astrocytoma"
"human",1,"benign meningioma"
"human",1,"peripheral nervous system benign neoplasm"
"human",1,"autonomic nervous system benign neoplasm"
"human",1,"ganglioneuroma"
"mouse",1,"thymus lymphoma"
"human",1,"prolymphocytic leukemia"
"human",1,"Barrett's adenocarcinoma"
"mouse",1,"gastric adenocarcinoma"
"mouse",1,"stomach carcinoma"
"human",1,"extra-adrenal pheochromocytoma"
"human",1,"clear cell sarcoma"
"human",1,"testicular yolk sac tumor"
"human",1,"testis seminoma"
"human",1,"T-cell large granular lymphocyte leukemia"
"mouse",1,"marginal zone B-cell lymphoma"
"mouse",1,"MALT lymphoma"
"mouse",1,"chronic lymphocytic leukemia"
"human",1,"hereditary Wilms' tumor"
"human",1,"kidney lipoma"
"human",1,"kidney rhabdoid cancer"
"human",1,"collecting duct carcinoma"
"human",1,"precursor T-lymphoblastic lymphoma/leukemia"
"human",1,"precursor lymphoblastic lymphoma/leukemia"
"human",1,"precursor B lymphoblastic lymphoma/leukemia"
"mouse",1,"pituitary cancer"
"mouse",1,"pituitary gland disease"
"human",1,"classic variant of chromophobe renal cell carcinoma"
"human",1,"biphasic synovial sarcoma"
"human",1,"monophasic synovial sarcoma"
"human",1,"hairy cell leukemia"
"human",1,"peritoneum cancer"
"human",1,"peritoneal mesothelioma"
"human",1,"pancreatic intraductal papillary-colloid carcinoma"
"human",1,"pancreatic intraductal papillary-mucinous adenoma"
"human",1,"gastric diffuse adenocarcinoma"
"human",1,"mediastinal cancer"
"human",1,"mediastinal malignant lymphoma"
"human",1,"malignant pleural solitary fibrous tumor"
"human",1,"chondrosarcoma"
"human",1,"extraosseous chondrosarcoma"
"human",1,"extraskeletal myxoid chondrosarcoma"
"human",1,"pediatric infratentorial ependymoma"
"human",1,"pituitary cancer"
"human",1,"hormone producing pituitary cancer"
"human",1,"thyroid gland Hurthle cell carcinoma"
"human",1,"adenoid cystic carcinoma"
"human",1,"oropharynx cancer"
"human",1,"tonsil cancer"
"human",1,"supratentorial primitive neuroectodermal tumor"
"human",1,"pediatric osteosarcoma"
"human",1,"breast adenoid cystic carcinoma"
"human",1,"breast apocrine carcinoma"
"human",1,"lipoma"
"human",1,"thrombosis"
"human",1,"portal vein thrombosis"
"human",1,"hepatic vascular disease"
"human",1,"vein disease"
"human",1,"central nervous system lymphoma"
"human",1,"central nervous system hematologic cancer"
"human",1,"deficiency anemia"
"mouse",1,"fibrosarcoma"
"human",1,"hypereosinophilic syndrome"
"human",1,"juvenile pilocytic astrocytoma"
"human",1,"childhood pilocytic astrocytoma"
"mouse",1,"mixed cell type cancer"
"mouse",1,"breast adenocarcinoma"
"mouse",1,"breast metaplastic carcinoma"
"mouse",1,"breast squamous cell carcinoma"
"mouse",1,"breast papillary carcinoma"
"mouse",1,"urinary bladder cancer"
"rat",1,"breast adenocarcinoma"
"human",1,"polycythemia vera"
"mouse",1,"lymph node cancer"
"mouse",1,"Burkitt lymphoma"
"mouse",1,"lymph node disease"
"mouse",1,"thyroid gland adenocarcinoma"
"mouse",1,"differentiated thyroid gland carcinoma"
"mouse",1,"thyroid gland follicular carcinoma"
"human",1,"well-differentiated liposarcoma"
"human",1,"pediatric fibrosarcoma"
"human",1,"congenital mesoblastic nephroma"
"human",1,"cellular congenital mesoblastic nephroma"
"human",1,"congenital fibrosarcoma"
"human",1,"male breast cancer"
"human",1,"invasive bladder transitional cell carcinoma"
"human",1,"bladder carcinoma in situ"
"human",1,"nodal marginal zone lymphoma"
"human",1,"uterine body mixed cancer"
"human",1,"carcinosarcoma"
"human",1,"uterine corpus sarcoma"
"human",1,"uterine carcinosarcoma"
"rat",1,"stomach cancer"
"rat",1,"gastric adenocarcinoma"
"rat",1,"stomach carcinoma"
"mouse",1,"acute leukemia"
"mouse",1,"megakaryocytic leukemia"
"human",1,"scirrhous adenocarcinoma"
"human",1,"glioblastoma classical subtype"
"human",1,"glioblastoma proneural subtype"
"human",1,"glioblastoma mesenchymal subtype"
"rat",1,"cribriform carcinoma"
"human",1,"large cell medulloblastoma"
"human",1,"central neurocytoma"
"human",1,"pineoblastoma"
"human",1,"pineal gland cancer"
"human",1,"inflammatory leiomyosarcoma"
"human",1,"cerebellar disease"
"human",1,"cerebellum cancer"
"human",1,"cerebellar astrocytoma"
"human",1,"pilocytic astrocytoma of cerebellum"
"mouse",1,"multiple myeloma"
"human",1,"subacute myeloid leukemia"
"human",1,"salivary gland carcinoma"
