"ee.Taxon","N","Definition"
"mouse",13,"zone of skin"
"human",13,"digestive tract epithelium"
"human",13,"stylopod"
"rat",13,"bodily fluid"
"rat",13,"neuron projection bundle"
"mouse",13,"medial zone of hypothalamus"
"rat",13,"vessel"
"rat",13,"blood vessel"
"rat",13,"blood vasculature"
"mouse",13,"epithelial cell of alimentary canal"
"mouse",13,"endothelial cell of vascular tree"
"mouse",13,"myeloid lineage restricted progenitor cell"
"human",13,"hematopoietic lineage restricted progenitor cell"
"mouse",13,"supportive cell"
"mouse",13,"nephron"
"mouse",13,"kidney epithelium"
"mouse",13,"uriniferous tubule"
"human",13,"vein endothelial cell"
"rat",13,"metabolising cell"
"rat",13,"hepatocyte"
"rat",13,"polyploid cell"
"rat",13,"endopolyploid cell"
"human",13,"blood plasma"
"human",13,"nose"
"human",13,"nasal cavity mucosa"
"human",13,"olfactory organ"
"human",13,"upper respiratory tract epithelium"
"human",13,"upper respiratory conduit"
"human",13,"olfactory apparatus chamber"
"human",13,"common myeloid progenitor"
"human",13,"extraembryonic cell"
"mouse",13,"wall of large intestine"
"mouse",13,"mucosa of large intestine"
"mouse",13,"ganglion of peripheral nervous system"
"human",13,"developmental process"
"mouse",12,"jejunum"
"mouse",12,"olfactory cortex"
"mouse",12,"paraventricular nucleus of hypothalamus"
"mouse",12,"dorsal trunk"
"mouse",12,"external soft tissue zone"
"rat",12,"astrocyte"
"mouse",12,"double negative thymocyte"
"rat",12,"embryo"
"human",12,"ileum"
"human",12,"internal female genitalia"
"mouse",12,"mesenchymal stem cell"
"rat",12,"regional part of spinal cord"
"rat",12,"spinal cord segment"
"rat",12,"skeletal muscle tissue"
"rat",12,"small intestine"
"mouse",12,"septal nuclear complex"
"human",12,"hematopoietic multipotent progenitor cell"
"mouse",12,"choroid plexus"
"mouse",12,"tela choroidea"
"mouse",12,"vascular plexus"
"human",12,"ocular surface region"
"human",12,"stroma"
"human",12,"multilaminar epithelium"
"rat",12,"cortex"
"mouse",12,"eye photoreceptor cell"
"mouse",12,"camera-type eye photoreceptor cell"
"rat",12,"blood"
"rat",12,"haemolymphatic fluid"
"human",12,"microvascular endothelium"
"rat",12,"nerve"
"human",12,"synovial joint"
"human",12,"trunk connective tissue"
"mouse",12,"blood vessel endothelial cell"
"mouse",12,"blood vessel endothelium"
"mouse",12,"cardiovascular system endothelium"
"mouse",12,"granule cell"
"human",12,"mature B cell"
"human",12,"myeloid lineage restricted progenitor cell"
"human",12,"microglial cell"
"human",12,"central nervous system macrophage"
"rat",12,"post-juvenile adult stage"
"mouse",12,"lens of camera-type eye"
"mouse",12,"transparent eye structure"
"human",12,"endothelial cell of umbilical vein"
"mouse",12,"megakaryocyte-erythroid progenitor cell"
"mouse",12,"layer of retina"
"human",12,"nasal cavity epithelium"
"human",12,"nose epithelium"
"human",12,"bone marrow hematopoietic cell"
"human",12,"hematopoietic tissue"
"human",12,"efferent neuron"
"mouse",12,"Purkinje cell"
"mouse",12,"mesenchyme"
"mouse",12,"epithelial sac"
"human",12,"lamina"
"human",12,"pigment epithelium of eye"
"human",12,"eye epithelium"
"mouse",12,"totipotent stem cell"
"mouse",12,"epiblast cell"
"mouse",12,"extraembryonic tissue"
"human",12,"cell differentiation"
"human",12,"cellular developmental process"
"mouse",12,"sympathetic nervous system"
"mouse",12,"autonomic ganglion"
"mouse",12,"sympathetic ganglion"
"rat",11,"dorsal plus ventral thalamus"
"human",11,"uvea"
"mouse",11,"extraembryonic structure"
"mouse",11,"piriform cortex"
"rat",11,"stem cell"
"rat",11,"meso-epithelial cell"
"rat",11,"neonate stage"
"mouse",11,"primary motor cortex"
"mouse",11,"precursor B cell"
"human",11,"conventional dendritic cell"
"rat",11,"dense connective tissue"
"human",11,"skeleton"
"mouse",11,"trunk connective tissue"
"mouse",11,"abdominal segment connective tissue"
"mouse",11,"lamina"
"mouse",11,"epithelium of gonad"
"human",11,"columnar/cuboidal epithelial cell"
"human",11,"object"
"human",11,"epithelial cell of lung"
"human",11,"layer of synovial tissue"
"mouse",11,"CD11b-positive dendritic cell"
"mouse",11,"intestinal epithelial cell"
"human",11,"fat cell"
"mouse",11,"immature alpha-beta T cell"
"human",11,"forelimb"
"human",11,"pectoral appendage"
"human",11,"upper limb segment"
"human",11,"pectoral complex"
"rat",11,"neuron associated cell (sensu Vertebrata)"
"mouse",11,"neural crest cell"
"mouse",11,"ectoderm"
"mouse",11,"pigment epithelium of eye"
"mouse",11,"eye epithelium"
"rat",11,"lumbar dorsal root ganglion"
"human",11,"islet of Langerhans"
"human",11,"endocrine pancreas"
"human",11,"layer of retina"
"human",11,"pigmented layer of retina"
"mouse",11,"pectoral complex"
"mouse",11,"process"
"mouse",11,"biological_process"
"mouse",11,"epithelium of large intestine"
"human",11,"foreskin fibroblast"
"mouse",11,"lower respiratory tract epithelium"
"mouse",11,"medial ganglionic eminence"
"human",11,"neural crest cell"
"rat",10,"secretory cell"
"rat",10,"midbrain nucleus"
"mouse",10,"ocular adnexa"
"mouse",10,"columnar/cuboidal epithelial cell"
"mouse",10,"respiratory tube"
"mouse",10,"breast"
"mouse",10,"chest"
"mouse",10,"fat cell"
"mouse",10,"glutamatergic neuron"
"mouse",10,"axon tract"
"rat",10,"barrier cell"
"human",10,"olfactory lobe"
"rat",10,"compound organ component"
"mouse",10,"nucleus of medulla oblongata"
"human",10,"gland of digestive tract"
"human",10,"putamen"
"human",10,"trunk blood vessel"
"rat",10,"pituitary gland"
"rat",10,"mammary gland"
"rat",10,"gland of integumental system"
"rat",10,"exocrine gland of integumental system"
"mouse",10,"pluripotent stem cell"
"rat",10,"adipose tissue"
"rat",10,"irregular connective tissue"
"rat",10,"dense irregular connective tissue"
"human",10,"subdivision of skeleton"
"mouse",10,"hypodermis"
"mouse",10,"subcutaneous adipose tissue"
"rat",10,"multi-cell-part structure"
"human",10,"abdomen connective tissue"
"human",10,"abdominal segment connective tissue"
"human",10,"adipose tissue of abdominal region"
"human",10,"temporal cortex"
"human",10,"extraembryonic membrane"
"human",10,"microvascular endothelial cell"
"mouse",10,"endochondral bone"
"mouse",10,"skeleton"
"mouse",10,"endochondral element"
"mouse",10,"subdivision of skeleton"
"human",10,"arm"
"rat",10,"late adult stage"
"human",10,"cardiocyte"
"mouse",10,"cellular_component"
"rat",10,"oligodendrocyte precursor cell"
"human",10,"blood serum"
"human",10,"motor neuron"
"human",10,"dopaminergic neuron"
"rat",10,"stuff accumulating cell"
"mouse",10,"colonic epithelium"
"human",10,"blastula"
"human",10,"blastocyst"
"mouse",10,"primordial germ cell"
"mouse",10,"epidermal cell"
"mouse",10,"general ecto-epithelial cell"
"mouse",10,"lung epithelium"
"mouse",10,"arcuate nucleus of hypothalamus"
"mouse",10,"lumbar dorsal root ganglion"
"mouse",10,"T-helper 1 cell"
"rat",9,"circumventricular organ"
"rat",9,"ventral tegmental area"
"mouse",9,"diaphragm"
"mouse",9,"skeletal muscle of trunk"
"mouse",9,"thoracic segment muscle"
"mouse",9,"respiratory system muscle"
"mouse",9,"musculature of thorax"
"mouse",9,"musculature of trunk"
"mouse",9,"cervical spinal cord"
"human",9,"melanocyte"
"rat",9,"lining cell"
"human",9,"visual cortex"
"human",9,"entorhinal cortex"
"human",9,"olfactory cortex"
"human",9,"parahippocampal gyrus"
"human",9,"piriform cortex"
"human",9,"functional part of brain"
"human",9,"saliva-secreting gland"
"human",9,"trachea"
"human",9,"brain white matter"
"human",9,"oral gland"
"human",9,"gustatory system"
"human",9,"coronary artery"
"human",9,"heart blood vessel"
"human",9,"thoracic segment blood vessel"
"human",9,"coronary vessel"
"human",9,"heart vasculature"
"human",9,"Schwann cell"
"mouse",9,"DN3 thymocyte"
"rat",9,"simple columnar epithelium"
"rat",9,"epithelium of mucosa"
"rat",9,"columnar epithelium"
"rat",9,"subdivision of skeletal system"
"human",9,"neonate stage"
"mouse",9,"specifically dependent continuant"
"mouse",9,"quality"
"mouse",9,"physical object quality"
"human",9,"stratified squamous epithelium"
"human",9,"zone of bone organ"
"human",9,"endochondral element"
"human",9,"ocular adnexa"
"rat",9,"duct"
"mouse",9,"retinal rod cell"
"human",9,"fallopian tube"
"mouse",9,"suprachiasmatic nucleus"
"mouse",9,"preoptic nucleus"
"mouse",9,"plasmacytoid dendritic cell"
"human",9,"Brodmann (1909) area 46"
"rat",9,"gut wall"
"human",9,"naive B cell"
"mouse",9,"appendicular skeleton"
"mouse",9,"limb bone"
"mouse",9,"stylopod"
"mouse",9,"long bone"
"mouse",9,"limb long bone"
"mouse",9,"bone of free limb or fin"
"mouse",9,"skeleton of limb"
"mouse",9,"limb skeleton subdivision"
"mouse",9,"bone of appendage girdle complex"
"mouse",9,"appendicular skeletal system"
"mouse",9,"paired limb/fin skeleton"
"mouse",9,"limb endochondral element"
"human",9,"osteoblast"
"mouse",9,"double-positive, alpha-beta thymocyte"
"mouse",9,"mesothelium"
"mouse",9,"epithelial layer of duct"
"human",9,"pectoral complex muscle"
"human",9,"musculature of pectoral complex"
"human",9,"anatomical lobe"
"human",9,"striated muscle cell"
"human",9,"epithelium of gonad"
"human",9,"epithelium of female gonad"
"mouse",9,"renal corpuscle"
"mouse",9,"inguinal part of abdomen"
"human",9,"germ line cell"
"mouse",9,"B-2 B cell"
"mouse",9,"follicular B cell"
"mouse",9,"pigmented layer of retina"
"human",9,"biological role"
"human",9,"role"
"rat",9,"myeloid cell"
"rat",9,"myeloid leukocyte"
"mouse",9,"branched duct epithelial cell"
"human",9,"morphology"
"human",9,"structure"
"human",9,"neoplastic"
"human",9,"protein secreting cell"
"human",9,"CD14-positive monocyte"
"human",9,"memory T cell"
"human",9,"visual pigment cell"
"human",9,"retinal pigment epithelial cell"
"mouse",9,"Kit and Sca1-positive hematopoietic stem cell"
"human",9,"epithelial cell of prostate"
"human",9,"duct"
"mouse",9,"stratified epithelial cell"
"mouse",9,"keratinizing barrier epithelial cell"
"mouse",9,"stratified squamous epithelial cell"
"mouse",9,"keratin accumulating cell"
"mouse",9,"keratinocyte"
"mouse",9,"epithelial cell of lung"
"mouse",9,"radial glial cell"
"mouse",9,"membranous layer"
"mouse",9,"yolk sac"
"mouse",9,"extraembryonic membrane"
"mouse",9,"sympathetic trunk"
"mouse",9,"paravertebral ganglion"
"mouse",9,"cervical ganglion"
"mouse",9,"trunk ganglion"
"mouse",8,"trigeminal ganglion"
"mouse",8,"duodenum"
"mouse",8,"integumentary adnexa"
"human",8,"myocardium"
"human",8,"heart layer"
"human",8,"hypothalamus"
"mouse",8,"skeletal muscle tissue of tibialis anterior"
"mouse",8,"membranous labyrinth"
"mouse",8,"tracheobronchial tree"
"human",8,"lymphoid follicle"
"human",8,"secondary nodular lymphoid tissue"
"mouse",8,"entorhinal cortex"
"mouse",8,"parahippocampal gyrus"
"mouse",8,"GABAergic neuron"
"mouse",8,"nucleus of thalamus"
"mouse",8,"midbrain tectum"
"mouse",8,"brain white matter"
"mouse",8,"layer of developing cerebral cortex"
"human",8,"superior frontal gyrus"
"mouse",8,"spinal cord column"
"rat",8,"medulla of organ"
"human",8,"descending colon"
"human",8,"jejunum"
"human",8,"parenchyma"
"human",8,"zone of stomach"
"rat",8,"brainstem nucleus"
"mouse",8,"bed nucleus of stria terminalis"
"human",8,"tunica fibrosa of eyeball"
"mouse",8,"DN2 thymocyte"
"rat",8,"meso-epithelium"
"human",8,"jaw region"
"rat",8,"parenchyma"
"human",8,"appendicular skeleton"
"human",8,"endochondral bone"
"human",8,"appendicular skeletal system"
"human",8,"ascending colon"
"rat",8,"gastrocnemius"
"human",8,"abdominal wall"
"human",8,"parietal cortex"
"rat",8,"arterial blood vessel"
"rat",8,"arterial system"
"mouse",8,"memory T cell"
"mouse",8,"artery"
"rat",8,"wall of intestine"
"human",8,"serous gland"
"mouse",8,"erythroblast"
"mouse",8,"hindlimb skeleton"
"mouse",8,"hindlimb bone"
"mouse",8,"hindlimb long bone"
"mouse",8,"leg bone"
"mouse",8,"pelvic appendage skeleton"
"mouse",8,"bone of pelvic complex"
"mouse",8,"skeleton of pelvic complex"
"mouse",8,"hindlimb endochondral element"
"human",8,"granulocytopoietic cell"
"mouse",8,"male germ cell"
"mouse",8,"mesothelial cell"
"mouse",8,"Sertoli cell"
"mouse",8,"androgen binding protein secreting cell"
"mouse",8,"seminiferous tubule epithelial cell"
"mouse",8,"seminiferous tubule of testis"
"mouse",8,"seminiferous tubule epithelium"
"mouse",8,"epithelium of male gonad"
"human",8,"muscle of arm"
"human",8,"forelimb muscle"
"human",8,"forelimb stylopod"
"human",8,"musculature of arm"
"human",8,"musculature of upper limb"
"human",8,"pectoral appendage musculature"
"human",8,"pectoral appendage muscle"
"mouse",8,"ocular surface region"
"human",8,"lobe of lung"
"mouse",8,"abdominal lymph node"
"rat",8,"female reproductive system"
"rat",8,"female organism"
"human",8,"germ cell"
"mouse",8,"mast cell"
"mouse",8,"histamine secreting cell"
"human",8,"dermis"
"rat",8,"phagocyte"
"rat",8,"macrophage"
"rat",8,"defensive cell"
"rat",8,"tissue-resident macrophage"
"mouse",8,"forelimb"
"mouse",8,"pectoral appendage"
"human",8,"aortic endothelial cell"
"mouse",8,"long term hematopoietic stem cell"
"human",8,"mucosa of rectum"
"human",8,"mesenchyme"
"mouse",8,"epithalamus"
"mouse",8,"ventromedial nucleus of hypothalamus"
"human",8,"inhibitor"
"mouse",8,"midbrain dopaminergic neuron"
"mouse",8,"superior cervical ganglion"
"rat",7,"epithalamus"
"rat",7,"pineal body"
"rat",7,"secretory circumventricular organ"
"rat",7,"pineal complex"
"mouse",7,"pilosebaceous unit"
"mouse",7,"wall of small intestine"
"mouse",7,"neurecto-epithelial cell"
"mouse",7,"trachea"
"mouse",7,"dorsal thalamus"
"mouse",7,"nucleus of dorsal thalamus"
"rat",7,"multi fate stem cell"
"mouse",7,"nervous system commissure"
"mouse",7,"corpus callosum"
"mouse",7,"cerebral hemisphere white matter"
"mouse",7,"intercerebral commissure"
"mouse",7,"dorsal telencephalic commissure"
"mouse",7,"brain commissure"
"mouse",7,"tract of brain"
"mouse",7,"white matter of telencephalon"
"mouse",7,"white matter of forebrain"
"mouse",7,"commissure of telencephalon"
"human",7,"neuron of the forebrain"
"human",7,"axon tract"
"human",7,"gland of diencephalon"
"human",7,"tract of brain"
"human",7,"neuroendocrine gland"
"human",7,"white matter of forebrain"
"human",7,"adrenal cortex"
"human",7,"tongue"
"human",7,"nucleus accumbens"
"human",7,"medulla oblongata"
"human",7,"zeugopod"
"human",7,"myelencephalon"
"human",7,"ventral striatum"
"rat",7,"gray matter of hindbrain"
"rat",7,"paraventricular nucleus of hypothalamus"
"rat",7,"ecto-epithelium"
"rat",7,"zone of organ"
"rat",7,"cortex of kidney"
"rat",7,"renal parenchyma"
"mouse",7,"caudate-putamen"
"human",7,"long bone"
"mouse",7,"follicular cell of ovary"
"human",7,"conjunctiva"
"human",7,"conjunctival sac"
"human",7,"sigmoid colon"
"rat",7,"duct of male reproductive system"
"human",7,"neurecto-epithelial cell"
"rat",7,"sciatic nerve"
"rat",7,"nerve plexus"
"rat",7,"spinal nerve plexus"
"rat",7,"lumbosacral nerve plexus"
"rat",7,"neural tissue"
"human",7,"synovial membrane of synovial joint"
"human",7,"peritoneum"
"human",7,"visceral serous membrane"
"human",7,"peritoneal sac"
"rat",7,"duodenum"
"rat",7,"intestinal mucosa"
"rat",7,"gastrointestinal system mucosa"
"human",7,"saliva"
"mouse",7,"early embryo"
"mouse",7,"2-cell stage embryo"
"mouse",7,"hindlimb stylopod"
"mouse",7,"femur"
"mouse",7,"upper leg bone"
"mouse",7,"bone of hip region"
"mouse",7,"femur endochondral element"
"human",7,"precursor B cell"
"rat",7,"soleus muscle"
"rat",7,"craniocervical region musculature"
"rat",7,"craniocervical muscle"
"mouse",7,"CD4-positive, alpha-beta thymocyte"
"human",7,"biceps brachii"
"human",7,"forelimb stylopod muscle"
"human",7,"musculature of forelimb stylopod"
"mouse",7,"protein-containing complex"
"human",7,"colorectum"
"mouse",7,"heart layer"
"human",7,"common lymphoid progenitor"
"mouse",7,"lymphoid tissue"
"human",7,"alveolar macrophage"
"human",7,"lung macrophage"
"rat",7,"intermediate hypothalamic region"
"rat",7,"lumbar spinal cord"
"rat",7,"lower back"
"mouse",7,"renal glomerulus"
"rat",7,"appendicular skeleton"
"rat",7,"long bone"
"rat",7,"skeleton"
"rat",7,"endochondral element"
"rat",7,"subdivision of skeleton"
"rat",7,"appendicular skeletal system"
"mouse",7,"mesentery"
"mouse",7,"inguinal fat pad"
"mouse",7,"mesoderm"
"mouse",7,"marginal zone B cell"
"mouse",7,"marginal zone of spleen"
"human",7,"zone of skin"
"rat",7,"contractile cell"
"rat",7,"muscle cell"
"mouse",7,"luminal epithelial cell of mammary gland"
"mouse",7,"kidney mesenchyme"
"human",7,"erythroblast"
"human",7,"ciliated cell"
"mouse",7,"skeletal joint"
"mouse",7,"articular system"
"mouse",7,"articulation"
"mouse",7,"left lung"
"rat",7,"central nervous system macrophage"
"human",7,"digestive system duct"
"human",7,"eyelid"
"mouse",7,"haploid cell"
"human",7,"granulocyte monocyte progenitor cell"
"human",7,"CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor"
"human",7,"hematopoietic oligopotent progenitor cell, lineage-negative"
"rat",7,"fifth lumbar dorsal root ganglion"
"mouse",7,"blood plasma"
"mouse",7,"circumventricular organ"
"mouse",7,"secretory circumventricular organ"
"mouse",7,"vasculature of head"
"mouse",7,"cerebral cortex subventricular zone"
"mouse",7,"cellular process"
"mouse",7,"developmental process"
"mouse",7,"T-helper 17 cell"
"human",7,"multicellular organism development"
"human",7,"multicellular organismal process"
"human",7,"system development"
"human",7,"anatomical structure development"
"mouse",7,"excitatory neuron"
"mouse",7,"retinal progenitor cell"
"mouse",7,"external ectoderm"
"mouse",7,"brain blood vessel"
"mouse",7,"vasculature of brain"
"rat",6,"parietal lobe"
"rat",6,"substantia nigra"
"mouse",6,"caecum"
"mouse",6,"digestive tract diverticulum"
"mouse",6,"mucosa of small intestine"
"human",6,"heart ventricle wall"
"mouse",6,"extra-ocular muscle"
"mouse",6,"skeletal muscle tissue of eye"
"mouse",6,"eye muscle"
"mouse",6,"craniocervical region musculature"
"mouse",6,"craniocervical muscle"
"mouse",6,"extensor muscle"
"mouse",6,"extensor digitorum longus"
"mouse",6,"soleus muscle"
"mouse",6,"early embryonic cell"
"mouse",6,"thoracic spinal cord"
"mouse",6,"dorsal thoracic segment of trunk"
"mouse",6,"lateral geniculate body"
"mouse",6,"layer of neocortex"
"mouse",6,"metathalamus"
"rat",6,"endothelial cell"
"rat",6,"gyrus"
"rat",6,"morphological feature"
"mouse",6,"cochlear nucleus"
"mouse",6,"cochlear nuclear complex"
"human",6,"medulla of organ"
"human",6,"neuron of cerebral cortex"
"human",6,"cerebral cortex neuron"
"human",6,"pituitary gland"
"human",6,"nervous system commissure"
"human",6,"corpus callosum"
"human",6,"cerebral hemisphere white matter"
"human",6,"intercerebral commissure"
"human",6,"dorsal telencephalic commissure"
"human",6,"brain commissure"
"human",6,"white matter of telencephalon"
"human",6,"commissure of telencephalon"
"human",6,"transverse colon"
"human",6,"duodenum"
"human",6,"cardia of stomach"
"human",6,"cortex of kidney"
"human",6,"cardiac atrium"
"human",6,"brainstem nucleus"
"human",6,"renal parenchyma"
"human",6,"orbitofrontal cortex"
"rat",6,"medulla oblongata"
"rat",6,"myelencephalon"
"human",6,"multi-cell-part structure"
"human",6,"primary motor cortex"
"rat",6,"dorsal trunk"
"rat",6,"viscus"
"rat",6,"dorsal striatum"
"mouse",6,"central gray substance of midbrain"
"mouse",6,"central gray substance"
"rat",6,"squamous epithelium"
"rat",6,"nose"
"rat",6,"tracheal mucosa"
"rat",6,"upper respiratory tract"
"rat",6,"nasal cavity mucosa"
"rat",6,"olfactory organ"
"rat",6,"respiratory system mucosa"
"rat",6,"respiratory tract epithelium"
"rat",6,"respiratory system epithelium"
"rat",6,"upper respiratory tract epithelium"
"rat",6,"nasal cavity epithelium"
"rat",6,"endo-epithelium"
"rat",6,"ciliated columnar epithelium"
"rat",6,"ciliated epithelium"
"rat",6,"pseudostratified columnar epithelium"
"rat",6,"pseudostratified ciliated columnar epithelium"
"rat",6,"upper respiratory conduit"
"rat",6,"olfactory apparatus chamber"
"rat",6,"sensory organ epithelium"
"rat",6,"nose epithelium"
"human",6,"excretory tube"
"mouse",6,"skin of back"
"mouse",6,"skin of trunk"
"human",6,"epithelial cell of alimentary canal"
"rat",6,"renal medulla"
"human",6,"bone of appendage girdle complex"
"human",6,"bone of pelvic complex"
"human",6,"skeleton of pelvic complex"
"mouse",6,"erythrocyte"
"mouse",6,"oxygen accumulating cell"
"mouse",6,"serotonin secreting cell"
"mouse",6,"stroma"
"rat",6,"internal genitalia"
"human",6,"myeloid dendritic cell"
"human",6,"muscle of shoulder"
"human",6,"musculature of shoulder"
"human",6,"hippocampal field"
"mouse",6,"CD8-positive, alpha-beta memory T cell"
"mouse",6,"cerebellar granule cell"
"rat",6,"wall of large intestine"
"rat",6,"mucosa of large intestine"
"human",6,"wall of small intestine"
"human",6,"mucosa of small intestine"
"mouse",6,"erythroid progenitor cell"
"mouse",6,"megakaryocyte"
"mouse",6,"microvascular endothelial cell"
"mouse",6,"microvascular endothelium"
"human",6,"chondrocyte"
"human",6,"glycosaminoglycan secreting cell"
"human",6,"extracellular matrix secreting cell"
"human",6,"carbohydrate secreting cell"
"human",6,"collagen secreting cell"
"human",6,"germinal center B cell"
"rat",6,"extra-ocular muscle"
"rat",6,"skeletal muscle tissue of eye"
"rat",6,"eye muscle"
"rat",6,"ocular adnexa"
"rat",6,"systemic arterial system"
"human",6,"lobule"
"human",6,"pulmonary lobule"
"human",6,"cardiac muscle cell"
"human",6,"embryoid body"
"mouse",6,"epithelial cell of thymus"
"mouse",6,"medulla of thymus"
"mouse",6,"myocardium"
"mouse",6,"layer of muscle tissue"
"rat",6,"arcuate nucleus of hypothalamus"
"rat",6,"gray matter of spinal cord"
"rat",6,"spinal cord column"
"mouse",6,"nephron epithelium"
"mouse",6,"tunica fibrosa of eyeball"
"rat",6,"limb bone"
"rat",6,"endochondral bone"
"rat",6,"limb long bone"
"rat",6,"bone of free limb or fin"
"rat",6,"skeleton of limb"
"rat",6,"limb skeleton subdivision"
"rat",6,"bone of appendage girdle complex"
"rat",6,"paired limb/fin skeleton"
"rat",6,"limb endochondral element"
"human",6,"transudate"
"mouse",6,"osteoblast"
"rat",6,"nongranular leukocyte"
"rat",6,"nucleate cell"
"human",6,"regional part of spinal cord"
"human",6,"spinal cord segment"
"human",6,"cell in vitro"
"human",6,"skeletal tissue"
"mouse",6,"renal medulla"
"human",6,"endocrine cell"
"human",6,"biogenic amine secreting cell"
"human",6,"CD4-positive, alpha-beta memory T cell"
"human",6,"regulatory T cell"
"mouse",6,"synovial joint"
"rat",6,"microglial cell"
"human",6,"exocrine pancreas"
"human",6,"alveolar system"
"mouse",6,"pro-T cell"
"human",6,"extraembryonic tissue"
"mouse",6,"cumulus cell"
"human",6,"megakaryocyte-erythroid progenitor cell"
"mouse",6,"plasma cell"
"mouse",6,"antibody secreting cell"
"human",6,"capsule"
"human",6,"glandular epithelial cell"
"human",6,"glandular epithelium"
"human",6,"membrane organ"
"rat",6,"fibroblast"
"human",6,"cranium"
"human",6,"skull"
"human",6,"cranial skeletal system"
"human",6,"axial skeletal system"
"mouse",6,"pineal body"
"mouse",6,"pineal complex"
"rat",6,"vasculature of organ"
"mouse",6,"fifth lumbar dorsal root ganglion"
"mouse",6,"germinal center B cell"
"mouse",6,"lymphoid follicle"
"mouse",6,"secondary nodular lymphoid tissue"
"human",6,"stromal cell of bone marrow"
"rat",6,"embryo stage"
"human",6,"wall of stomach"
"human",6,"mucosa of stomach"
"mouse",6,"skeletal tissue"
"mouse",6,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
"mouse",6,"multinucleate cell"
"mouse",6,"myotube"
"mouse",6,"layer of hippocampus"
"mouse",6,"hippocampus pyramidal layer"
"mouse",6,"reticular formation"
"mouse",6,"raphe nuclei"
"human",6,"brain microvascular endothelial cell"
"human",6,"nervous system development"
"human",6,"neurogenesis"
"human",6,"neuron differentiation"
"human",6,"generation of neurons"
"rat",5,"granule cell"
"mouse",5,"prime adult stage"
"mouse",5,"thyroid gland"
"mouse",5,"cardiac atrium"
"human",5,"myocardium of ventricle"
"human",5,"left ventricle myocardium"
"mouse",5,"skeletal muscle tissue of quadriceps femoris"
"mouse",5,"mechanoreceptor cell"
"mouse",5,"cochlear duct of membranous labyrinth"
"mouse",5,"cochlear labyrinth"
"mouse",5,"animal zygote"
"mouse",5,"gustatory system"
"mouse",5,"autopod region"
"mouse",5,"basolateral amygdaloid nuclear complex"
"human",5,"pyramidal neuron"
"human",5,"layer of neocortex"
"human",5,"primary visual cortex"
"human",5,"cortical layer III"
"rat",5,"gray matter of midbrain"
"human",5,"diencephalic nucleus"
"rat",5,"anterior hypothalamic region"
"human",5,"vagina"
"human",5,"caecum"
"human",5,"vestibulo-auditory system"
"human",5,"hindlimb zeugopod"
"human",5,"hindbrain nucleus"
"human",5,"digestive tract diverticulum"
"rat",5,"septum of telencephalon"
"rat",5,"pons"
"rat",5,"reticular formation"
"rat",5,"raphe nuclei"
"rat",5,"hindbrain nucleus"
"human",5,"nerve"
"rat",5,"thoracic spinal cord"
"rat",5,"dorsal thoracic segment of trunk"
"rat",5,"mixed endoderm/mesoderm-derived structure"
"rat",5,"immune organ"
"mouse",5,"corpora quadrigemina"
"human",5,"cornea"
"mouse",5,"DN4 thymocyte"
"rat",5,"multi organ part structure"
"human",5,"gingiva"
"human",5,"oral epithelium"
"rat",5,"integument"
"human",5,"hindlimb stylopod"
"human",5,"limb bone"
"human",5,"limb long bone"
"human",5,"bone of free limb or fin"
"human",5,"skeleton of limb"
"human",5,"zone of long bone"
"human",5,"limb skeleton subdivision"
"human",5,"paired limb/fin skeleton"
"human",5,"limb endochondral element"
"mouse",5,"abdomen connective tissue"
"mouse",5,"adipose tissue of abdominal region"
"mouse",5,"endocrine cell"
"rat",5,"internal male genitalia"
"rat",5,"male genital duct"
"human",5,"cellular_component"
"human",5,"visceral peritoneum"
"human",5,"deltoid"
"human",5,"omentum"
"human",5,"fat pad"
"human",5,"pectoral girdle and thoracic body wall skeletal muscle"
"human",5,"scapular muscle"
"rat",5,"artery"
"mouse",5,"naive thymus-derived CD8-positive, alpha-beta T cell"
"rat",5,"Schwann cell"
"human",5,"cheek"
"human",5,"midface"
"rat",5,"object"
"human",5,"amnion"
"human",5,"angioblastic mesenchymal cell"
"human",5,"postcentral gyrus"
"human",5,"pelvic region element"
"rat",5,"squamous epithelial cell"
"rat",5,"simple squamous epithelium"
"rat",5,"basolateral amygdaloid nuclear complex"
"human",5,"neck"
"mouse",5,"cellular anatomical entity"
"mouse",5,"medullary thymic epithelial cell"
"rat",5,"ovary"
"rat",5,"female reproductive organ"
"mouse",5,"cardiac muscle tissue"
"mouse",5,"brain microvascular endothelial cell"
"human",5,"vascular associated smooth muscle cell"
"rat",5,"dorsal horn of spinal cord"
"human",5,"pleura"
"human",5,"pleural sac"
"mouse",5,"primary somatosensory cortex"
"mouse",5,"parietal cortex"
"mouse",5,"late embryo"
"human",5,"intestinal epithelium"
"human",5,"gastrointestinal system epithelium"
"rat",5,"efferent neuron"
"mouse",5,"cornea"
"rat",5,"oligodendrocyte"
"human",5,"qualitative"
"human",5,"secretion of serous gland"
"rat",5,"olfactory lobe"
"human",5,"superior temporal gyrus"
"human",5,"skeletal muscle tissue of quadriceps femoris"
"human",5,"anatomical space"
"human",5,"immaterial anatomical entity"
"human",5,"anatomical cavity"
"mouse",5,"uvea"
"mouse",5,"immature eye"
"mouse",5,"dermis"
