"ee.Taxon","N","Definition"
"human",1,"principal inferior olivary nucleus"
"human",1,"inferior olivary nucleus"
"rat",1,"cranial nerve nucleus"
"rat",1,"spinal nucleus of trigeminal nerve"
"rat",1,"caudal part of spinal trigeminal nucleus"
"rat",1,"trigeminal nucleus"
"rat",1,"trigeminal sensory nucleus"
"mouse",1,"gustatory nucleus"
"rat",1,"nucleus raphe magnus"
"rat",1,"medullary raphe nuclear complex"
"human",1,"anterior cingulate gyrus"
"human",1,"cortical layer II"
"mouse",1,"secondary somatosensory cortex"
"mouse",1,"operculum of brain"
"rat",1,"primary somatosensory cortex"
"human",1,"head of caudate nucleus"
"human",1,"flocculonodular lobe"
"human",1,"cerebellum hemisphere lobule"
"human",1,"cerebellum lobule"
"human",1,"cerebellum lobe"
"human",1,"paraflocculus"
"human",1,"vestibulocerebellum"
"human",1,"flocculonodular lobe, hemisphere portion"
"human",1,"Brodmann (1909) area 24"
"human",1,"Brodmann (1909) area 33"
"human",1,"Brodmann (1909) area 44"
"human",1,"Brodmann (1909) area 45"
"human",1,"Brodmann (1909) area 20"
"human",1,"Brodmann (1909) area 22"
"human",1,"Brodmann (1909) area 32"
"mouse",1,"entorhinal cortex layer 6"
"mouse",1,"secondary olfactory cortex"
"mouse",1,"medial entorhinal cortex"
"mouse",1,"dorsal zone of medial entorhinal cortex"
"mouse",1,"ventral zone of medial entorhinal cortex"
"human",1,"medial dorsal nucleus of thalamus"
"human",1,"triangular part of inferior frontal gyrus"
"human",1,"angular gyrus"
"human",1,"opercular part of inferior frontal gyrus"
"human",1,"inferior frontal gyrus"
"human",1,"premotor cortex"
"rat",1,"secondary olfactory cortex"
"rat",1,"medial entorhinal cortex"
"rat",1,"lateral entorhinal cortex"
"rat",1,"entorhinal cortex layer 4"
"rat",1,"entorhinal cortex layer 5"
"rat",1,"entorhinal cortex layer 3"
"rat",1,"entorhinal cortex layer 6"
"rat",1,"entorhinal cortex layer 2"
"mouse",1,"primary somatosensory area barrel field layer 2/3"
"mouse",1,"primary somatosensory area barrel field layer 4"
"human",1,"left parietal lobe"
"human",1,"right parietal lobe"
"human",1,"left occipital lobe"
"human",1,"right occipital lobe"
"human",1,"right temporal lobe"
"human",1,"right frontal lobe"
"human",1,"left frontal lobe"
"human",1,"right cerebral hemisphere"
"human",1,"right hemisphere of cerebellum"
"rat",1,"lateral zone of hypothalamus"
"rat",1,"lateral hypothalamic area"
"rat",1,"locus ceruleus"
"human",1,"Brodmann (1909) area 4"
"mouse",1,"premotor cortex"
"rat",1,"occipital lobe"
"rat",1,"occipital cortex"
"human",1,"Brodmann (1909) area 6"
"rat",1,"pyramidal layer of CA1"
"rat",1,"layer of CA1 field"
"rat",1,"putamen"
"rat",1,"regional part of cerebellar cortex"
"rat",1,"cerebellar vermis"
"rat",1,"anterior cingulate cortex"
"human",1,"central amygdaloid nucleus"
"human",1,"medial amygdaloid nucleus"
"human",1,"basolateral amygdaloid nuclear complex"
"human",1,"corticomedial nuclear complex"
"human",1,"Brodmann (1909) area 19"
"human",1,"extrastriate cortex"
"mouse",1,"cortical layer I"
"mouse",1,"cortical intermediate zone"
"mouse",1,"dentate gyrus granule cell layer inner blade"
"mouse",1,"dentate gyrus granule cell layer outer blade"
"human",1,"posterior cingulate cortex"
"rat",1,"bed nucleus of stria terminalis"
"rat",1,"core of nucleus accumbens"
"rat",1,"lateral nucleus of stria terminalis"
"mouse",1,"piriform cortex layer 1"
"mouse",1,"piriform cortex layer 2"
"mouse",1,"piriform cortex layer 3"
"rat",1,"insular cortex"
"rat",1,"agranular insular cortex"
"rat",1,"primary motor cortex"
"rat",1,"CA2 field of hippocampus"
"human",1,"superior colliculus"
"human",1,"corpora quadrigemina"
"human",1,"midbrain tectum"
"mouse",1,"core of nucleus accumbens"
"mouse",1,"caudate nucleus"
"human",1,"supraoptic nucleus"
"human",1,"anterior hypothalamic region"
"rat",1,"suprachiasmatic nucleus"
"rat",1,"medial zone of hypothalamus"
"rat",1,"preoptic nucleus"
"human",1,"optic tract"
"human",1,"diencephalic white matter"
"human",1,"tract of diencephalon"
"human",1,"arcuate nucleus of hypothalamus"
"human",1,"intermediate hypothalamic region"
"mouse",1,"medial amygdaloid nucleus"
"mouse",1,"intercalated amygdaloid nuclei"
"rat",1,"subfornical organ"
"mouse",1,"corticotectal tract"
"rat",1,"oculomotor nuclear complex"
"rat",1,"pontine nuclear group"
"rat",1,"basal part of pons"
"rat",1,"area postrema"
"rat",1,"fourth ventricle"
"mouse",1,"third ventricle"
"mouse",1,"left cerebral hemisphere"
"human",1,"brain meninx"
"rat",1,"cochlear nucleus"
"rat",1,"cochlear nuclear complex"
"rat",1,"ventral cochlear nucleus"
"rat",1,"anteroventral cochlear nucleus"
"mouse",1,"choroid plexus epithelium"
"mouse",1,"lateral ventricle choroid plexus epithelium"
"mouse",1,"fourth ventricle choroid plexus epithelium"
"mouse",1,"dorsal lateral geniculate nucleus"
"rat",1,"left cerebral hemisphere"
"mouse",1,"pre-Botzinger complex"
"mouse",1,"cerebral blood vessel"
"mouse",1,"midbrain lateral wall"
"mouse",1,"granular layer of cerebellar cortex"
"mouse",1,"cerebellar layer"
"mouse",1,"cerebellum external granule cell layer"
"rat",1,"brain blood vessel"
"rat",1,"vasculature of brain"
"mouse",1,"lateral superior olivary nucleus"
"mouse",1,"ventral cochlear nucleus"
"human",1,"choroid plexus epithelium"
"rat",1,"cerebellar peduncular complex"
"rat",1,"brainstem white matter"
"mouse",1,"frontal pole"
"mouse",1,"pole of cerebral hemisphere"
"rat",1,"inferior colliculus"
"rat",1,"corpora quadrigemina"
"rat",1,"midbrain tectum"
"mouse",1,"brain meninx"
"rat",1,"rostral ventrolateral medulla"
"mouse",1,"ventricular zone"
"mouse",1,"brain ependyma"
"mouse",1,"dorsal longitudinal fasciculus of midbrain"
"mouse",1,"dorsal longitudinal fasciculus"
"mouse",1,"fasciculus of brain"
"human",1,"optic chiasma"
"human",1,"decussation of diencephalon"
"human",1,"epithalamus"
"human",1,"pineal body"
"human",1,"circumventricular organ"
"human",1,"secretory circumventricular organ"
"human",1,"pineal complex"
"mouse",1,"rhombic lip"
"mouse",1,"future metencephalon"
"human",1,"olfactory bulb"
"mouse",1,"lateral habenular nucleus"
"mouse",1,"ventral thalamus"
"mouse",1,"paraventricular nucleus of thalamus"
"mouse",1,"reuniens nucleus"
"mouse",1,"anterodorsal nucleus of thalamus"
"mouse",1,"anteromedial nucleus of thalamus"
"mouse",1,"anteroventral nucleus of thalamus"
"mouse",1,"midline nuclear group"
"mouse",1,"posterior nuclear complex of thalamus"
"mouse",1,"lateral nuclear group of thalamus"
"mouse",1,"anterior nuclear group"
"mouse",1,"lateral posterior nucleus of thalamus"
"mouse",1,"lateral dorsal nucleus"
"mouse",1,"nucleus of ventral thalamus"
"mouse",1,"subparafascicular nucleus"
"mouse",1,"interanterodorsal nucleus of the thalamus"
"mouse",1,"ventromedial thalamic nucleus"
