"et.Val","ee.Taxon","N"
"Nr0b1 [mouse] nuclear receptor subfamily 0, group B, member 1","mouse",2
"Etv1 [mouse] ets variant 1","mouse",2
"Fem1b [mouse] feminization 1 homolog b (C. elegans)","mouse",2
"Gtf2i [mouse] general transcription factor II I","mouse",2
"Mtf2 [mouse] metal response element binding transcription factor 2","mouse",2
"Mybl2 [mouse] myeloblastosis oncogene-like 2","mouse",2
"Tcea3 [mouse] transcription elongation factor A (SII), 3","mouse",2
"Tfap2c [mouse] transcription factor AP-2, gamma","mouse",2
"Tle4 [mouse] transducin-like enhancer of split 4","mouse",2
"Zfp281 [mouse] zinc finger protein 281","mouse",2
"Nelfa [mouse] negative elongation factor complex member A, Whsc2","mouse",2
"Zscan4c [mouse] zinc finger and SCAN domain containing 4C","mouse",2
"Nr5a2 [mouse] nuclear receptor subfamily 5, group A, member 2","mouse",2
"Batf3 [mouse] basic leucine zipper transcription factor, ATF-like 3","mouse",2
"Dppa5a [mouse] developmental pluripotency associated 5A","mouse",2
"Dmrt1 [mouse] doublesex and mab-3 related transcription factor 1","mouse",2
"Sall1 [mouse] spalt like transcription factor 1","mouse",2
"Mir29a [mouse] microRNA 29a","mouse",2
"Mir34a [mouse] microRNA 34a","mouse",2
"Cdkn1b [mouse] cyclin-dependent kinase inhibitor 1B","mouse",2
"Stmn1 [mouse] stathmin 1","mouse",2
"Gtf2ird1 [mouse] general transcription factor II I repeat domain-containing 1","mouse",2
"Prph2 [mouse] peripherin 2","mouse",2
"IKBKE [human] inhibitor of nuclear factor kappa B kinase subunit epsilon","human",2
"KLF5 [human] Kruppel-like factor 5 (intestinal)","human",2
"Keap1 [mouse] kelch-like ECH-associated protein 1","mouse",2
"Tlr5 [mouse] toll-like receptor 5","mouse",2
"Hnf4a [mouse] hepatic nuclear factor 4, alpha","mouse",2
"BIRC6 [human] baculoviral IAP repeat containing 6","human",2
"RARA [human] retinoic acid receptor, alpha","mouse",2
"TFEB [human] transcription factor EB","mouse",2
"Id2 [mouse] inhibitor of DNA binding 2","mouse",2
"Gpnmb [mouse] glycoprotein (transmembrane) nmb","mouse",2
"CDK8 [human] cyclin-dependent kinase 8","human",2
"Apob [mouse] apolipoprotein B","mouse",2
"CDT1 [human] chromatin licensing and DNA replication factor 1","human",2
"DUSP1 [human] dual specificity phosphatase 1","human",2
"Nr1i3 [mouse] nuclear receptor subfamily 1, group I, member 3","mouse",2
"Picalm [mouse] phosphatidylinositol binding clathrin assembly protein","mouse",2
"Ido1 [mouse] indoleamine 2,3-dioxygenase 1","mouse",2
"Ptpn1 [mouse] protein tyrosine phosphatase, non-receptor type 1","mouse",2
"Hoxd10 [mouse] homeobox D10","mouse",2
"Hoxd9 [mouse] homeobox D9","mouse",2
"Rarg [mouse] retinoic acid receptor, gamma","mouse",2
"Ctgf [mouse] connective tissue growth factor","mouse",2
"Tlr3 [mouse] toll-like receptor 3","mouse",2
"TTF1 [human] transcription termination factor, RNA polymerase I","human",2
"Etv6 [mouse] ets variant 6","mouse",2
"Hbegf [mouse] heparin-binding EGF-like growth factor","mouse",2
"Ticam1 [mouse] toll-like receptor adaptor molecule 1","mouse",2
"miRNA","mouse",2
"Erbb2 [rat] v-erb-b2 avian erythroblastic leukemia viral oncogene 2","mouse",2
"NFX1 [human] nuclear transcription factor, X-box binding 1","human",2
"Eif2ak4 [mouse] eukaryotic translation initiation factor 2 alpha kinase 4","mouse",2
"Cstb [mouse] cystatin B","mouse",2
"RORA [human] RAR-related orphan receptor A","human",2
"E2F4 [human] E2F transcription factor 4","human",2
"E2F6 [human] E2F transcription factor 6","human",2
"GTF2B [human] general transcription factor IIB","human",2
"IRF7 [human] interferon regulatory factor 7","human",2
"NFE2L1 [human] nuclear factor, erythroid 2 like 1","human",2
"POU2F1 [human] POU class 2 homeobox 1","human",2
"RXRA [human] retinoid X receptor alpha","human",2
"SP3 [human] Sp3 transcription factor","human",2
"STAT2 [human] signal transducer and activator of transcription 2","human",2
"TFDP1 [human] transcription factor Dp-1","human",2
"TFDP2 [human] transcription factor Dp-2","human",2
"YY1 [human] YY1 transcription factor","human",2
"Timp1 [mouse] tissue inhibitor of metalloproteinase 1","mouse",2
"Tshz1 [mouse] teashirt zinc finger family member 1","mouse",2
"Bcl2l11 [mouse] BCL2-like 11 (apoptosis facilitator)","mouse",2
"Dlx5 [mouse] distal-less homeobox 5","mouse",2
"CDK5 [human] cyclin dependent kinase 5","human",2
"Gt(ROSA)26Sor [mouse] gene trap ROSA 26, Philippe Soriano","mouse",2
"Alk [mouse] anaplastic lymphoma kinase","mouse",2
"Egr2 [mouse] early growth response 2","mouse",2
"CDH2 [human] cadherin 2","human",2
"RRM1 [human] ribonucleotide reductase catalytic subunit M1","human",2
"SMARCA4 [human] SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","human",2
"Stra8 [mouse] stimulated by retinoic acid gene 8","mouse",2
"NF2 [human] neurofibromin 2 (merlin)","human",2
"E2F7 [human] E2F transcription factor 7","human",2
"Fezf1 [mouse] Fez family zinc finger 1","mouse",2
"Tyrobp [mouse] TYRO protein tyrosine kinase binding protein","mouse",2
"Notch3 [mouse] notch 3","mouse",2
"S100a10 [mouse] S100 calcium binding protein A10 (calpactin)","mouse",2
"Kmt2b [mouse] lysine (K)-specific methyltransferase 2B","mouse",2
"Rbfox2 [mouse] RNA binding protein, fox-1 homolog (C. elegans) 2","mouse",2
"FOXF1 [human] forkhead box F1","human",2
"GATA1 [human] GATA binding protein 1","human",2
"HHEX [human] hematopoietically expressed homeobox","human",2
"CBFB [human] core-binding factor beta subunit","human",2
"Trp53cor1 [mouse] tumor protein p53 pathway corepressor 1","mouse",2
"KDM6B [human] lysine (K)-specific demethylase 6B","human",2
"Kdm6a [mouse] lysine (K)-specific demethylase 6A","mouse",2
"Gfra1 [mouse] glial cell line derived neurotrophic factor family receptor alpha 1","mouse",2
"Neurog2 [mouse] neurogenin 2","human",2
"Neurog1 [mouse] neurogenin 1","human",2
"Mir155 [mouse] microRNA 155","mouse",2
"Smarcd3 [mouse] SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3","mouse",2
"Eif2a [mouse] eukaryotic translation initiation factor 2A","mouse",2
"Ngf [mouse] nerve growth factor","mouse",2
"GLI1 [human] GLI family zinc finger 1","human",2
"NFYA [human] nuclear transcription factor Y, alpha","human",2
"POLR2D [human] polymerase (RNA) II (DNA directed) polypeptide D","human",2
"PSMD13 [human] proteasome (prosome, macropain) 26S subunit, non-ATPase, 13","human",2
"CDK10 [human] cyclin-dependent kinase 10","human",2
"TOX4 [human] TOX high mobility group box family member 4","human",2
"Mef2d [rat] myocyte enhancer factor 2D","rat",2
"Mef2d [mouse] myocyte enhancer factor 2D","mouse",2
"Kcnip3 [mouse] Kv channel interacting protein 3, calsenilin","mouse",2
"Pink1 [mouse] PTEN induced putative kinase 1","mouse",2
"Lrrk2 [mouse] leucine-rich repeat kinase 2","mouse",2
"Dusp1 [mouse] dual specificity phosphatase 1","mouse",2
"CDKN1C [human] cyclin-dependent kinase inhibitor 1C (p57, Kip2)","human",2
"KDR [human] kinase insert domain receptor","human",2
"NR2E1 [human] nuclear receptor subfamily 2, group E, member 1","human",2
"PLK1 [human] polo-like kinase 1","human",2
"Foxp1 [mouse] forkhead box P1","human",2
"GRHL1 [human] grainyhead-like 1 (Drosophila)","human",2
"KDM4B [human] lysine (K)-specific demethylase 4B","human",2
"CYP19A1 [human] cytochrome P450, family 19, subfamily A, polypeptide 1","mouse",2
"Insr [mouse] insulin receptor","mouse",2
"Itgax [mouse] integrin alpha X","mouse",2
"Flt3 [mouse] FMS-like tyrosine kinase 3","mouse",2
"Ucp1 [mouse] uncoupling protein 1 (mitochondrial, proton carrier)","mouse",2
"Dnajc2 [mouse] DnaJ heat shock protein family (Hsp40) member C2","mouse",2
"Ccl2 [mouse] chemokine (C-C motif) ligand 2","mouse",2
"anti-CD3","mouse",2
"Rho [mouse] rhodopsin","mouse",2
"Tnc [mouse] tenascin C","mouse",2
"Prmt1 [mouse] protein arginine N-methyltransferase 1","mouse",2
"Tlr9 [mouse] toll-like receptor 9","mouse",2
"Meg3 [mouse] maternally expressed 3","mouse",2
"Pdgfra [mouse] platelet derived growth factor receptor, alpha polypeptide","mouse",2
"Abca4 [mouse] ATP-binding cassette, sub-family A (ABC1), member 4","mouse",2
"HIF1A [human] hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)","mouse",2
"Il4 [mouse] interleukin 4","mouse",2
"Med23 [mouse] mediator complex subunit 23","mouse",2
"ADAR [human] adenosine deaminase, RNA specific","human",2
"DROSHA [human] drosha ribonuclease III","human",2
"Fut4 [mouse] fucosyltransferase 4","mouse",2
"Hnrnpk [mouse] heterogeneous nuclear ribonucleoprotein K","mouse",2
"Dlx3 [mouse] distal-less homeobox 3","mouse",2
"CDK9 [human] cyclin dependent kinase 9","human",2
"Nek7 [mouse] NIMA (never in mitosis gene a)-related expressed kinase 7","mouse",2
"Cd3e [mouse] CD3 antigen, epsilon polypeptide","mouse",2
"Ighm [mouse] immunoglobulin heavy constant mu","mouse",2
"Tfrc [mouse] transferrin receptor","mouse",2
"Prkce [mouse] protein kinase C, epsilon","mouse",2
"Bach1 [mouse] BTB and CNC homology 1, basic leucine zipper transcription factor 1","mouse",2
"Bach2 [mouse] BTB and CNC homology, basic leucine zipper transcription factor 2","mouse",2
"Csf1r [mouse] colony stimulating factor 1 receptor","mouse",2
"Adrb2 [mouse] adrenergic receptor, beta 2","mouse",2
"Ar [mouse] androgen receptor","mouse",2
"SOX10 [human] SRY-box 10","human",2
"Rela [mouse] v-rel reticuloendotheliosis viral oncogene homolog A (avian)","mouse",2
"Hmga2 [mouse] high mobility group AT-hook 2","mouse",2
"Pdgfrb [mouse] platelet derived growth factor receptor, beta polypeptide","mouse",2
"L1CAM [human] L1 cell adhesion molecule","human",2
"YAP1 [human] Yes-associated protein 1, 65kDa","mouse",2
"ARNT [human] aryl hydrocarbon receptor nuclear translocator","human",2
"FUS [human] FUS RNA binding protein","mouse",2
"PSEN1 [human] presenilin 1","human",2
"Nr2e1 [mouse] nuclear receptor subfamily 2, group E, member 1","mouse",2
"FGFR1 [human] fibroblast growth factor receptor 1","human",2
"Gla [mouse] galactosidase, alpha","mouse",2
"TREM2 [human] triggering receptor expressed on myeloid cells 2","mouse",2
"Nfix [mouse] nuclear factor I/X","mouse",2
"APP (KM670/671NL), PSEN1 (L166P)","mouse",2
"Emx2 [mouse] empty spiracles homeobox 2","mouse",2
"Hcrt [mouse] hypocretin","mouse",2
"SOD1 [human] superoxide dismutase 1, soluble","rat",2
"Gmnn [mouse] geminin","mouse",2
"Nrros [mouse] negative regulator of reactive oxygen species","mouse",2
"Sp8 [mouse] trans-acting transcription factor 8","mouse",2
"Qk [mouse] quaking","mouse",2
"Phf8 [mouse] PHD finger protein 8","mouse",2
"CHD7 [human] chromodomain helicase DNA binding protein 7","human",2
"Lrp5 [mouse] low density lipoprotein receptor-related protein 5","mouse",2
"Ndp [mouse] Norrie disease (pseudoglioma) (human)","mouse",2
"Cacna1h [mouse] calcium channel, voltage-dependent, T type, alpha 1H subunit","mouse",2
"Sox3 [mouse] SRY (sex determining region Y)-box 3","mouse",2
"Edn2 [mouse] endothelin 2","mouse",2
"Sumo1 [mouse] small ubiquitin-like modifier 1","mouse",2
"Nf1 [mouse] neurofibromin 1","mouse",2
"Epha4 [mouse] Eph receptor A4","mouse",2
"Nkx2-2 [mouse] NK2 homeobox 2","mouse",2
"Myrf [mouse] myelin regulatory factor","mouse",2
"St18 [mouse] suppression of tumorigenicity 18","mouse",2
"Bcl11a [mouse] B cell CLL/lymphoma 11A (zinc finger protein)","mouse",2
"NEUROG2 [human] neurogenin 2","human",2
"Mir17hg [mouse] Mir17 host gene (non-protein coding)","mouse",2
"Fasn [mouse] fatty acid synthase","mouse",2
"Gnb5 [mouse] guanine nucleotide binding protein (G protein), beta 5","mouse",2
"Klf6 [mouse] Kruppel-like factor 6","mouse",2
"Ptbp2 [mouse] polypyrimidine tract binding protein 2","mouse",2
"Usp18 [mouse] ubiquitin specific peptidase 18","mouse",2
"Nkx6-1 [mouse] NK6 homeobox 1","mouse",2
"Nova1 [mouse] neuro-oncological ventral antigen 1","mouse",2
"Rbfox3 [mouse] RNA binding protein, fox-1 homolog (C. elegans) 3","mouse",2
"Cd33 [mouse] CD33 antigen","mouse",2
"Vip [mouse] vasoactive intestinal polypeptide","mouse",2
"Khdrbs3 [mouse] KH domain containing, RNA binding, signal transduction associated 3","mouse",2
"Plp1 [mouse] proteolipid protein (myelin) 1","mouse",2
"Tfdp1 [mouse] transcription factor Dp 1","mouse",2
"Mafb [mouse] v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)","mouse",2
"Sox11 [mouse] SRY (sex determining region Y)-box 11","mouse",2
"Hoxa2 [mouse] homeobox A2","mouse",2
"Kdm4a [mouse] lysine (K)-specific demethylase 4A","mouse",2
"Cpeb1 [mouse] cytoplasmic polyadenylation element binding protein 1","mouse",2
"Gsk3a [mouse] glycogen synthase kinase 3 alpha","mouse",2
"Idh1 [mouse] isocitrate dehydrogenase 1 (NADP+), soluble","mouse",2
"Usf1 [mouse] upstream transcription factor 1","mouse",2
"Acss2 [mouse] acyl-CoA synthetase short-chain family member 2","mouse",2
"Sp1 [mouse] trans-acting transcription factor 1","mouse",2
"Uhrf1 [mouse] ubiquitin-like, containing PHD and RING finger domains, 1","mouse",2
"Sema3a [mouse] sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A","mouse",2
"FUS [human] FUS RNA binding protein","human",2
"TARDBP [human] TAR DNA binding protein","human",2
"1700020I14Rik [mouse] RIKEN cDNA 1700020I14 gene","mouse",2
"Tet2 [mouse] tet methylcytosine dioxygenase 2","mouse",2
"Mettl14 [mouse] methyltransferase like 14","mouse",2
"Nr1d1 [mouse] nuclear receptor subfamily 1, group D, member 1","mouse",2
"Foxl2 [mouse] forkhead box L2","mouse",2
"Onecut1 [mouse] one cut domain, family member 1","mouse",2
"HNF4A [human] hepatocyte nuclear factor 4 alpha","human",2
"RARA [human] retinoic acid receptor, alpha","human",2
"PIN1 [human] peptidylprolyl cis/trans isomerase, NIMA-interacting 1","human",2
"ELK1 [human] ELK1, ETS transcription factor","human",2
"GRHL3 [human] grainyhead like transcription factor 3","human",2
"IRF1 [human] interferon regulatory factor 1","human",2
"PIAS3 [human] protein inhibitor of activated STAT 3","human",2
"GATA6 [human] GATA binding protein 6","human",2
"MAF [human] MAF bZIP transcription factor","human",2
"NR5A2 [human] nuclear receptor subfamily 5 group A member 2","human",2
"MBD2 [human] methyl-CpG binding domain protein 2","human",2
"RUNX1T1 [human] runt-related transcription factor 1 translocated to, 1 (cyclin D-related)","human",2
"Pax7 [mouse] paired box 7","mouse",2
"Gadd45a [mouse] growth arrest and DNA-damage-inducible 45 alpha","mouse",2
"mutation","rat",2
"Gsk3b [mouse] glycogen synthase kinase 3 beta","mouse",2
"Esx1 [mouse] extraembryonic, spermatogenesis, homeobox 1","mouse",2
"Ascl2 [mouse] achaete-scute family bHLH transcription factor 2","mouse",2
"T [mouse] brachyury, T-box transcription factor T","mouse",2
"GABPA [human] GA binding protein transcription factor subunit alpha","human",2
"JUNB [human] JunB proto-oncogene, AP-1 transcription factor subunit","human",2
"MSX1 [human] msh homeobox 1","human",2
"RARG [human] retinoic acid receptor gamma","human",2
"SIX3 [human] SIX homeobox 3","human",2
"FOSL1 [human] FOS like 1, AP-1 transcription factor subunit","human",2
"RUNX2 [human] runt related transcription factor 2","human",2
"Atoh8 [mouse] atonal bHLH transcription factor 8","mouse",2
"Atxn3 [mouse] ataxin 3","mouse",2
"Slc17a6 [mouse] solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6","mouse",2
"Setd5 [mouse] SET domain containing 5","mouse",2
"Mfi2 [mouse] antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5","mouse",1
"Aldh5a1 [mouse] aldhehyde dehydrogenase family 5, subfamily A1","mouse",1
"Hipk2 [mouse] homeodomain interacting protein kinase 2","mouse",1
"Chromosome X","mouse",1
"NF1 [human] neurofibromin 1","mouse",1
"PDGFA [human] platelet derived growth factor subunit A","human",1
"Ccl20 [mouse] chemokine (C-C motif) ligand 20","mouse",1
"Eif2s1 [mouse] eukaryotic translation initiation factor 2, subunit 1 alpha","mouse",1
"Cdk4 [mouse] cyclin-dependent kinase 4","mouse",1
"DACH1 [human] dachshund family transcription factor 1","human",1
"H2 [mouse] histocompatibility-2, MHC","mouse",1
"H2-T18 [mouse] histocompatibility 2, T region locus 18","mouse",1
"Bcl2 [mouse] B cell leukemia/lymphoma 2","mouse",1
"Rp1 [mouse] retinitis pigmentosa 1 (human)","mouse",1
"ACHE [human] acetylcholinesterase (Yt blood group)","mouse",1
"trisomy 8","human",1
"Brn3a mutant","mouse",1
"Ppp3ca [rat] protein phosphatase 3 catalytic subunit alpha","rat",1
"Gjd2 [mouse] gap junction protein, delta 2","mouse",1
"Klf7 [mouse] Kruppel-like factor 7 (ubiquitous)","mouse",1
"CCAT","mouse",1
"inbred long-sleep, inbred short-sleep","mouse",1
"Cacna1a [mouse] calcium channel, voltage-dependent, P/Q type, alpha 1A subunit","mouse",1
"Cacng2 [mouse] calcium channel, voltage-dependent, gamma subunit 2","mouse",1
"Crybb2 [mouse] crystallin, beta B2","mouse",1
"Glrb [mouse] glycine receptor, beta subunit","mouse",1
"Msr1 [mouse] macrophage scavenger receptor 1","mouse",1
"COX1 [mouse] cytochrome c oxidase subunit I","mouse",1
"COX2 [mouse] cytochrome c oxidase subunit II","mouse",1
"S1pr3 [mouse] sphingosine-1-phosphate receptor 3","mouse",1
"S1pr2 [mouse] sphingosine-1-phosphate receptor 2","mouse",1
"Ptdsr mutant","mouse",1
"Nmyc2 [mouse] neuroblastoma myc-related oncogene 2","mouse",1
"Gast [mouse] gastrin","mouse",1
"CDH1 [human] cadherin 1, type 1, E-cadherin (epithelial)","mouse",1
"Pou4f1 [mouse] POU domain, class 4, transcription factor 1","mouse",1
"PCGF2 [human] polycomb group ring finger 2","human",1
"Cnr1 [mouse] cannabinoid receptor 1 (brain)","mouse",1
"Cnr2 [mouse] cannabinoid receptor 2 (macrophage)","mouse",1
"ORMDL3 [human] ORM1-like 3 (S. cerevisiae)","human",1
"apoE-deficient F2","mouse",1
"transgene","mouse",1
"Odc1 [mouse] ornithine decarboxylase, structural 1","mouse",1
"constitutively active","mouse",1
"Rasgrf1 [mouse] RAS protein-specific guanine nucleotide-releasing factor 1","mouse",1
"Folr2 [mouse] folate receptor 2 (fetal)","mouse",1
"Cckbr [mouse] cholecystokinin B receptor","mouse",1
"Chrdl2 [mouse] chordin-like 2","mouse",1
"MFI2 [human] antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5","human",1
"Arvcf [mouse] armadillo repeat gene deleted in velo-cardio-facial syndrome","mouse",1
"Cdc45 [mouse] cell division cycle 45","mouse",1
"Comt [mouse] catechol-O-methyltransferase","mouse",1
"Dgcr6 [mouse] DiGeorge syndrome critical region gene 6","mouse",1
"Dgcr2 [mouse] DiGeorge syndrome critical region gene 2","mouse",1
"Slc25a1 [mouse] solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1","mouse",1
"Gnb1l [mouse] guanine nucleotide binding protein (G protein), beta polypeptide 1-like","mouse",1
"Gp1bb [mouse] glycoprotein Ib, beta polypeptide","mouse",1
"Hira [mouse] histone cell cycle regulation defective homolog A (S. cerevisiae)","mouse",1
"Trmt2a [mouse] TRM2 tRNA methyltransferase 2A","mouse",1
"Mrpl40 [mouse] mitochondrial ribosomal protein L40","mouse",1
"Sept5 [mouse] septin 5","mouse",1
"Prodh [mouse] proline dehydrogenase","mouse",1
"Ranbp1 [mouse] RAN binding protein 1","mouse",1
"Gsc2 [mouse] goosecoid homebox 2","mouse",1
"Tssk1 [mouse] testis-specific serine kinase 1","mouse",1
"Tssk2 [mouse] testis-specific serine kinase 2","mouse",1
"Ufd1l [mouse] ubiquitin fusion degradation 1 like","mouse",1
"Vpreb2 [mouse] pre-B lymphocyte gene 2","mouse",1
"Txnrd2 [mouse] thioredoxin reductase 2","mouse",1
"Zdhhc8 [mouse] zinc finger, DHHC domain containing 8","mouse",1
"Tango2 [mouse] transport and golgi organization 2","mouse",1
"Dgcr14 [mouse] DiGeorge syndrome critical region gene 14","mouse",1
"Tbx1 [rat] T-box 1","mouse",1
"Phgdh [mouse] 3-phosphoglycerate dehydrogenase","mouse",1
"Irf1 [mouse] interferon regulatory factor 1","mouse",1
"R270H/R270H mutation","mouse",1
"Transgenic mouse strain","mouse",1
"Adam10 [mouse] a disintegrin and metallopeptidase domain 10","mouse",1
"POU2AF1 [human] POU class 2 associating factor 1","mouse",1
"HDAC8 [human] histone deacetylase 8","human",1
"Ccna2 [mouse] cyclin A2","mouse",1
"NMuMG cell","mouse",1
"Mir140 [mouse] microRNA 140","mouse",1
"Rnasel [mouse] ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent)","mouse",1
"I-ag7 [mouse] MHC class II molecule I-Ag7","mouse",1
"Mir122 [mouse] microRNA 122","mouse",1
"XIAP [human] X-linked inhibitor of apoptosis","human",1
"Aqp11 [mouse] aquaporin 11","mouse",1
"Rsl1 [mouse] regulator of sex limited protein 1","mouse",1
"Zfp429 [mouse] zinc finger protein 429","mouse",1
"Camk4 [mouse] calcium/calmodulin-dependent protein kinase IV","mouse",1
"Mpg [mouse] N-methylpurine-DNA glycosylase","mouse",1
"ATXN7 [human] ataxin 7","mouse",1
"Mylk3 [mouse] myosin light chain kinase 3","mouse",1
"B4galnt2 [mouse] beta-1,4-N-acetyl-galactosaminyl transferase 2","mouse",1
"Luteinizing hormone","mouse",1
"C3 [mouse] complement component 3","mouse",1
"SSFA2 [human] sperm specific antigen 2","human",1
"MIR7-1 [human] microRNA 7-1","human",1
"SDHAF2 [human] succinate dehydrogenase complex assembly factor 2","human",1
"Chromosome 1","mouse",1
"Chromosome 13","mouse",1
"Chromosome 19","mouse",1
"ADRB2 [human] adrenoceptor beta 2","mouse",1
"Cdh23 [mouse] cadherin 23 (otocadherin)","mouse",1
"Immunoglobulin","mouse",1
"LRP5 [human] low density lipoprotein receptor-related protein 5","human",1
"Lpar1 [mouse] lysophosphatidic acid receptor 1","mouse",1
"Enpp2 [mouse] ectonucleotide pyrophosphatase/phosphodiesterase 2","mouse",1
"Lpar2 [mouse] lysophosphatidic acid receptor 2","mouse",1
"Lpar3 [mouse] lysophosphatidic acid receptor 3","mouse",1
"IGHV3-23 [human] immunoglobulin heavy variable 3-23","human",1
"Mst1r [mouse] macrophage stimulating 1 receptor (c-met-related tyrosine kinase)","mouse",1
"Traf6 [mouse] TNF receptor-associated factor 6","mouse",1
"Mcf2 [mouse] mcf.2 transforming sequence","mouse",1
"MYRF [human] myelin regulatory factor","mouse",1
"NAMPT [human] nicotinamide phosphoribosyltransferase","human",1
"NMNAT1 [human] nicotinamide nucleotide adenylyltransferase 1","human",1
"gene knock out","human",1
"IGF1R [human] insulin like growth factor 1 receptor","mouse",1
"GAPDH [human] glyceraldehyde-3-phosphate dehydrogenase","human",1
"SFTPC [human] surfactant protein C","human",1
"Agr2 [mouse] anterior gradient 2 (Xenopus laevis)","mouse",1
"Knock-out mouse strain","mouse",1
"Nog [mouse] noggin","mouse",1
"Ptgs2 [mouse] prostaglandin-endoperoxide synthase 2","mouse",1
"Ptges [mouse] prostaglandin E synthase","mouse",1
"SNCA [human] synuclein, alpha (non A4 component of amyloid precursor)","rat",1
"Il1rap [mouse] interleukin 1 receptor accessory protein","mouse",1
"Zfp36l2 [mouse] zinc finger protein 36, C3H type-like 2","mouse",1
"Hba-a1 [mouse] hemoglobin alpha, adult chain 1","mouse",1
"Hbb-b1 [mouse] hemoglobin, beta adult major chain","mouse",1
"NOTCH2 [human] notch 2","human",1
"Pthlh [mouse] parathyroid hormone-like peptide","mouse",1
"Gnrh1 [mouse] gonadotropin releasing hormone 1","mouse",1
"Nhlh2 [mouse] nescient helix loop helix 2","mouse",1
"Gap43 [mouse] growth associated protein 43","mouse",1
"anx [mouse] anorexia","mouse",1
"ND6 [rat] NADH dehydrogenase subunit 6","rat",1
"Paxip1 [mouse] PAX interacting (with transcription-activation domain) protein 1","mouse",1
"Prkag3 [mouse] protein kinase, AMP-activated, gamma 3 non-catatlytic subunit","mouse",1
"Socs1 [mouse] suppressor of cytokine signaling 1","mouse",1
"Cebpe [mouse] CCAAT/enhancer binding protein (C/EBP), epsilon","mouse",1
"Cebpd [mouse] CCAAT/enhancer binding protein (C/EBP), delta","mouse",1
"Ppp1r1a [mouse] protein phosphatase 1, regulatory (inhibitor) subunit 1A","mouse",1
"Map2k3 [mouse] mitogen-activated protein kinase kinase 3","mouse",1
"Map2k7 [mouse] mitogen-activated protein kinase kinase 7","mouse",1
"Pax6 [rat] paired box 6","rat",1
"beta amyloid","rat",1
"Srr [mouse] serine racemase","mouse",1
"Utrn [mouse] utrophin","mouse",1
"Txnip [mouse] thioredoxin interacting protein","mouse",1
"Cd80 [mouse] CD80 antigen","mouse",1
"Por [mouse] P450 (cytochrome) oxidoreductase","mouse",1
"Pmp22 [mouse] peripheral myelin protein 22","mouse",1
"Gjb1 [mouse] gap junction protein, beta 1","mouse",1
"HSPA4 [human] heat shock protein family A (Hsp70) member 4","mouse",1
"SJL","mouse",1
"Grk2 [mouse] G protein-coupled receptor kinase 2","mouse",1
"Bnc1 [mouse] basonuclin 1","mouse",1
"IRAK4 [human] interleukin 1 receptor associated kinase 4","human",1
"Naglu [mouse] alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)","mouse",1
"Foxp2 [mouse] forkhead box P2","mouse",1
"FOXP2 [human] forkhead box P2","mouse",1
"BDNF [human] brain-derived neurotrophic factor","rat",1
"Fshr [mouse] follicle stimulating hormone receptor","mouse",1
"Fhl2 [mouse] four and a half LIM domains 2","mouse",1
"chromosomal_duplication","mouse",1
"chromosomal_translocation","mouse",1
"Agtr2 [mouse] angiotensin II receptor, type 2","mouse",1
"L1cam [mouse] L1 cell adhesion molecule","mouse",1
"Pcdh12 [mouse] protocadherin 12","mouse",1
"Lama2 [mouse] laminin, alpha 2","mouse",1
"MAML3 [human] mastermind-like 3 (Drosophila)","human",1
"NKD2 [human] naked cuticle homolog 2 (Drosophila)","human",1
"Omp [mouse] olfactory marker protein","mouse",1
"Itga2b [mouse] integrin alpha 2b","mouse",1
"MYOCD [human] myocardin","human",1
"Dstn [mouse] destrin","mouse",1
"Cd1 [mouse] CD1 antigen complex","mouse",1
"Cd37 [mouse] CD37 antigen","mouse",1
"Cd48 [mouse] CD48 antigen","mouse",1
"Cd9 [mouse] CD9 antigen","mouse",1
"Dpp4 [mouse] dipeptidylpeptidase 4","mouse",1
"ALG6 [human] ALG6, alpha-1,3-glucosyltransferase","human",1
"ALG12 [human] ALG12, alpha-1,6-mannosyltransferase","human",1
"DPM1 [human] dolichyl-phosphate mannosyltransferase subunit 1, catalytic","human",1
"Ddx55 [mouse] DEAD (Asp-Glu-Ala-Asp) box polypeptide 55","mouse",1
"AGTR1 [human] angiotensin II receptor, type 1","mouse",1
"Bmpr2 [mouse] bone morphogenic protein receptor, type II (serine/threonine kinase)","mouse",1
"U0126","mouse",1
"Smad2 [mouse] MAD homolog 2 (Drosophila)","mouse",1
"IFH1 [yeast] Ifh1p","yeast",1
"PMI40 [yeast] mannose-6-phosphate isomerase PMI40","yeast",1
"Sh3kbp1 [mouse] SH3-domain kinase binding protein 1","mouse",1
"nck2","zebrafish",1
"nck2a [zebrafish] NCK adaptor protein 2a","zebrafish",1
